state,year,monthno,pop,drug_all,drug_synthetic,drug_other,drug_opium_coke,state_fips
alabama,2018,1,334855.0000000001,90,21,47,22,1
alabama,2018,2,334855.0000000001,89,19,50,20,1
alabama,2018,3,334855.0000000001,98,15,65,18,1
alabama,2018,4,334855.0000000001,109,28,61,20,1
alabama,2018,5,334855.0000000001,91,9,61,21,1
alabama,2018,6,334855.0000000001,61,11,34,16,1
alabama,2018,7,334855.0000000001,68,13,42,13,1
alabama,2018,8,334855.0000000001,106,36,49,21,1
alabama,2018,9,334855.0000000001,83,18,46,19,1
alabama,2018,10,334855.0000000001,71,13,47,11,1
alabama,2018,11,334855.0000000001,69,9,47,13,1
alabama,2018,12,334855.0000000001,73,3,51,19,1
alabama,2019,1,338843.9999999999,66,14,32,20,1
alabama,2019,2,338843.9999999999,89,31,34,24,1
alabama,2019,3,338843.9999999999,62,15,31,16,1
alabama,2019,4,338843.9999999999,73,20,44,9,1
alabama,2019,5,338843.9999999999,59,19,22,18,1
alabama,2019,6,338843.9999999999,52,21,16,15,1
alabama,2019,7,338843.9999999999,68,24,28,16,1
alabama,2019,8,338843.9999999999,51,23,10,18,1
alabama,2019,9,338843.9999999999,66,22,25,19,1
alabama,2019,10,338843.9999999999,41,15,15,11,1
alabama,2019,11,338843.9999999999,38,20,7,11,1
alabama,2019,12,338843.9999999999,45,13,18,14,1
alabama,2020,1,341131.9999999999,65,24,26,15,1
alabama,2020,2,341131.9999999999,48,11,20,17,1
alabama,2020,3,341131.9999999999,46,18,16,12,1
alabama,2020,4,341131.9999999999,36,10,14,12,1
alabama,2020,5,341131.9999999999,51,19,16,16,1
alabama,2020,6,341131.9999999999,26,1,8,17,1
alabama,2020,7,341131.9999999999,18,1,13,4,1
alabama,2020,8,341131.9999999999,21,5,9,7,1
alabama,2020,9,341131.9999999999,17,4,11,2,1
alabama,2020,10,341131.9999999999,6,2,3,1,1
alabama,2020,11,341131.9999999999,8,2,6,0,1
alabama,2020,12,341131.9999999999,14,2,11,1,1
alabama,2021,1,349469.0000000001,27,3,19,5,1
alabama,2021,2,349469.0000000001,36,7,21,8,1
alabama,2021,3,349469.0000000001,48,9,29,10,1
alabama,2021,4,349469.0000000001,61,12,41,8,1
alabama,2021,5,349469.0000000001,47,5,26,16,1
alabama,2021,6,349469.0000000001,24,3,15,6,1
alabama,2021,7,349469.0000000001,54,6,40,8,1
alabama,2021,8,349469.0000000001,27,3,20,4,1
alabama,2021,9,349469.0000000001,13,3,9,1,1
alabama,2021,10,349469.0000000001,35,2,26,7,1
alabama,2021,11,349469.0000000001,37,0,28,9,1
alabama,2021,12,349469.0000000001,107,10,84,13,1
alabama,2022,1,357669.99999999994,96,9,69,18,1
alabama,2022,2,357669.99999999994,99,6,69,24,1
alabama,2022,3,357669.99999999994,127,10,93,24,1
alabama,2022,4,357669.99999999994,109,1,86,22,1
alabama,2022,5,357669.99999999994,99,11,63,25,1
alabama,2022,6,357669.99999999994,85,7,58,20,1
alabama,2022,7,357669.99999999994,112,10,78,24,1
alabama,2022,8,357669.99999999994,93,10,62,21,1
alabama,2022,9,357669.99999999994,111,11,84,16,1
alabama,2022,10,357669.99999999994,94,9,52,33,1
alabama,2022,11,357669.99999999994,96,8,68,20,1
alabama,2022,12,357669.99999999994,97,10,75,12,1
alabama,2023,1,362336.9999999999,108,9,86,13,1
alabama,2023,2,362336.9999999999,63,6,44,13,1
alabama,2023,3,362336.9999999999,80,7,54,19,1
alabama,2023,4,362336.9999999999,110,9,78,23,1
alabama,2023,5,362336.9999999999,98,6,67,25,1
alabama,2023,6,362336.9999999999,103,11,63,29,1
alabama,2023,7,362336.9999999999,111,7,70,34,1
alabama,2023,8,362336.9999999999,116,13,67,36,1
alabama,2023,9,362336.9999999999,110,15,67,28,1
alabama,2023,10,362336.9999999999,87,10,59,18,1
alabama,2023,11,362336.9999999999,99,11,70,18,1
alabama,2023,12,362336.9999999999,99,6,66,27,1
alabama,2024,1,368953.0000000001,116,12,79,25,1
alabama,2024,2,368953.0000000001,134,9,79,46,1
alabama,2024,3,368953.0000000001,100,5,75,20,1
alabama,2024,4,368953.0000000001,144,20,100,24,1
alabama,2024,5,368953.0000000001,107,7,85,15,1
alabama,2024,6,368953.0000000001,109,8,74,27,1
alabama,2024,7,368953.0000000001,123,6,90,27,1
alabama,2024,8,368953.0000000001,124,18,91,15,1
alabama,2024,9,368953.0000000001,125,18,82,25,1
alabama,2024,10,368953.0000000001,99,8,61,30,1
alabama,2024,11,368953.0000000001,120,8,85,27,1
alabama,2024,12,368953.0000000001,87,11,55,21,1
alaska,2018,1,345247.99999999994,10,5,1,4,2
alaska,2018,2,345247.99999999994,16,7,3,6,2
alaska,2018,3,345247.99999999994,11,5,1,5,2
alaska,2018,4,345247.99999999994,24,13,0,11,2
alaska,2018,5,345247.99999999994,15,8,2,5,2
alaska,2018,6,345247.99999999994,29,9,3,17,2
alaska,2018,7,345247.99999999994,14,6,0,8,2
alaska,2018,8,345247.99999999994,18,9,3,6,2
alaska,2018,9,345247.99999999994,20,11,3,6,2
alaska,2018,10,345247.99999999994,23,9,2,12,2
alaska,2018,11,345247.99999999994,8,1,1,6,2
alaska,2018,12,345247.99999999994,17,8,3,6,2
alaska,2019,1,343425,15,7,1,7,2
alaska,2019,2,343425,17,5,0,12,2
alaska,2019,3,343425,35,14,5,16,2
alaska,2019,4,343425,39,2,13,24,2
alaska,2019,5,343425,33,4,13,16,2
alaska,2019,6,343425,18,4,9,5,2
alaska,2019,7,343425,30,2,20,8,2
alaska,2019,8,343425,33,4,13,16,2
alaska,2019,9,343425,37,1,24,12,2
alaska,2019,10,343425,7,3,1,3,2
alaska,2019,11,343425,23,1,11,11,2
alaska,2019,12,343425,17,2,8,7,2
alaska,2020,1,343786,23,0,15,8,2
alaska,2020,2,343786,16,0,11,5,2
alaska,2020,3,343786,16,6,7,3,2
alaska,2020,4,343786,15,2,3,10,2
alaska,2020,5,343786,19,4,7,8,2
alaska,2020,6,343786,13,3,5,5,2
alaska,2020,7,343786,16,2,5,9,2
alaska,2020,8,343786,21,2,9,10,2
alaska,2020,9,343786,20,2,10,8,2
alaska,2020,10,343786,23,3,12,8,2
alaska,2020,11,343786,3,0,0,3,2
alaska,2020,12,343786,10,3,2,5,2
alaska,2021,1,344903,17,0,9,8,2
alaska,2021,2,344903,15,1,8,6,2
alaska,2021,3,344903,22,1,17,4,2
alaska,2021,4,344903,29,0,18,11,2
alaska,2021,5,344903,16,1,5,10,2
alaska,2021,6,344903,26,1,16,9,2
alaska,2021,7,344903,24,0,15,9,2
alaska,2021,8,344903,14,0,9,5,2
alaska,2021,9,344903,8,0,5,3,2
alaska,2021,10,344903,11,0,5,6,2
alaska,2021,11,344903,10,1,6,3,2
alaska,2021,12,344903,17,1,8,8,2
alaska,2022,1,351243,11,0,4,7,2
alaska,2022,2,351243,12,1,9,2,2
alaska,2022,3,351243,18,0,14,4,2
alaska,2022,4,351243,15,0,6,9,2
alaska,2022,5,351243,8,0,6,2,2
alaska,2022,6,351243,9,0,5,4,2
alaska,2022,7,351243,9,0,7,2,2
alaska,2022,8,351243,13,0,8,5,2
alaska,2022,9,351243,13,1,8,4,2
alaska,2022,10,351243,11,2,5,4,2
alaska,2022,11,351243,11,2,4,5,2
alaska,2022,12,351243,10,1,6,3,2
alaska,2023,1,351689,16,3,8,5,2
alaska,2023,2,351689,6,3,2,1,2
alaska,2023,3,351689,17,2,6,9,2
alaska,2023,4,351689,18,7,7,4,2
alaska,2023,5,351689,14,2,8,4,2
alaska,2023,6,351689,11,3,6,2,2
alaska,2023,7,351689,13,1,8,4,2
alaska,2023,8,351689,14,5,8,1,2
alaska,2023,9,351689,23,5,13,5,2
alaska,2023,10,351689,13,0,7,6,2
alaska,2023,11,351689,10,0,7,3,2
alaska,2023,12,351689,12,1,9,2,2
alaska,2024,1,356275,7,0,4,3,2
alaska,2024,2,356275,7,0,6,1,2
alaska,2024,3,356275,19,0,11,8,2
alaska,2024,4,356275,17,3,9,5,2
alaska,2024,5,356275,12,2,8,2,2
alaska,2024,6,356275,9,2,7,0,2
alaska,2024,7,356275,8,1,6,1,2
alaska,2024,8,356275,19,1,13,5,2
alaska,2024,9,356275,9,4,5,0,2
alaska,2024,10,356275,10,2,4,4,2
alaska,2024,11,356275,7,0,6,1,2
alaska,2024,12,356275,6,0,5,1,2
arizona,2018,1,2623249,384,131,124,129,4
arizona,2018,2,2623249,427,152,148,127,4
arizona,2018,3,2623249,432,170,138,124,4
arizona,2018,4,2623249,429,165,138,126,4
arizona,2018,5,2623249,481,184,160,137,4
arizona,2018,6,2623249,361,129,127,105,4
arizona,2018,7,2623249,368,136,122,110,4
arizona,2018,8,2623249,403,159,138,106,4
arizona,2018,9,2623249,424,175,135,114,4
arizona,2018,10,2623249,427,151,172,104,4
arizona,2018,11,2623249,348,117,144,87,4
arizona,2018,12,2623249,393,155,147,91,4
arizona,2019,1,2693752.0000000005,404,159,154,91,4
arizona,2019,2,2693752.0000000005,444,155,164,125,4
arizona,2019,3,2693752.0000000005,531,204,217,110,4
arizona,2019,4,2693752.0000000005,485,176,226,83,4
arizona,2019,5,2693752.0000000005,549,212,203,134,4
arizona,2019,6,2693752.0000000005,475,170,197,108,4
arizona,2019,7,2693752.0000000005,387,153,139,95,4
arizona,2019,8,2693752.0000000005,505,189,194,122,4
arizona,2019,9,2693752.0000000005,462,183,174,105,4
arizona,2019,10,2693752.0000000005,378,111,202,65,4
arizona,2019,11,2693752.0000000005,409,134,214,61,4
arizona,2019,12,2693752.0000000005,371,110,204,57,4
arizona,2020,1,2760617.9999999986,451,119,267,65,4
arizona,2020,2,2760617.9999999986,478,147,260,71,4
arizona,2020,3,2760617.9999999986,469,140,254,75,4
arizona,2020,4,2760617.9999999986,296,96,152,48,4
arizona,2020,5,2760617.9999999986,421,122,210,89,4
arizona,2020,6,2760617.9999999986,363,107,195,61,4
arizona,2020,7,2760617.9999999986,395,117,225,53,4
arizona,2020,8,2760617.9999999986,484,148,258,78,4
arizona,2020,9,2760617.9999999986,507,146,295,66,4
arizona,2020,10,2760617.9999999986,510,166,281,63,4
arizona,2020,11,2760617.9999999986,388,107,232,49,4
arizona,2020,12,2760617.9999999986,396,134,211,51,4
arizona,2021,1,2812977.000000001,446,79,299,68,4
arizona,2021,2,2812977.000000001,468,99,303,66,4
arizona,2021,3,2812977.000000001,558,114,375,69,4
arizona,2021,4,2812977.000000001,524,103,353,68,4
arizona,2021,5,2812977.000000001,543,116,360,67,4
arizona,2021,6,2812977.000000001,473,115,318,40,4
arizona,2021,7,2812977.000000001,529,145,331,53,4
arizona,2021,8,2812977.000000001,562,142,370,50,4
arizona,2021,9,2812977.000000001,530,147,324,59,4
arizona,2021,10,2812977.000000001,504,112,344,48,4
arizona,2021,11,2812977.000000001,471,138,295,38,4
arizona,2021,12,2812977.000000001,516,139,328,49,4
arizona,2022,1,2863342,513,162,314,37,4
arizona,2022,2,2863342,520,141,338,41,4
arizona,2022,3,2863342,622,170,389,63,4
arizona,2022,4,2863342,626,176,398,52,4
arizona,2022,5,2863342,696,206,447,43,4
arizona,2022,6,2863342,682,213,432,37,4
arizona,2022,7,2863342,629,189,383,57,4
arizona,2022,8,2863342,678,186,444,48,4
arizona,2022,9,2863342,634,179,397,58,4
arizona,2022,10,2863342,577,158,373,46,4
arizona,2022,11,2863342,624,206,377,41,4
arizona,2022,12,2863342,526,156,330,40,4
arizona,2023,1,2898328.999999997,619,173,399,47,4
arizona,2023,2,2898328.999999997,560,173,351,36,4
arizona,2023,3,2898328.999999997,669,233,399,37,4
arizona,2023,4,2898328.999999997,522,168,313,41,4
arizona,2023,5,2898328.999999997,629,184,407,38,4
arizona,2023,6,2898328.999999997,596,184,378,34,4
arizona,2023,7,2898328.999999997,614,197,378,39,4
arizona,2023,8,2898328.999999997,594,188,363,43,4
arizona,2023,9,2898328.999999997,573,191,347,35,4
arizona,2023,10,2898328.999999997,542,181,317,44,4
arizona,2023,11,2898328.999999997,567,173,358,36,4
arizona,2023,12,2898328.999999997,524,152,333,39,4
arizona,2024,1,2949227.000000001,536,163,332,41,4
arizona,2024,2,2949227.000000001,528,157,335,36,4
arizona,2024,3,2949227.000000001,561,162,355,44,4
arizona,2024,4,2949227.000000001,566,138,378,50,4
arizona,2024,5,2949227.000000001,600,187,359,54,4
arizona,2024,6,2949227.000000001,577,176,357,44,4
arizona,2024,7,2949227.000000001,521,153,322,46,4
arizona,2024,8,2949227.000000001,529,133,337,59,4
arizona,2024,9,2949227.000000001,476,109,313,54,4
arizona,2024,10,2949227.000000001,457,68,341,48,4
arizona,2024,11,2949227.000000001,452,92,308,52,4
arizona,2024,12,2949227.000000001,437,74,326,37,4
arkansas,2018,1,2382328.9999999977,471,36,359,76,5
arkansas,2018,2,2382328.9999999977,547,60,411,76,5
arkansas,2018,3,2382328.9999999977,633,53,480,100,5
arkansas,2018,4,2382328.9999999977,587,40,453,94,5
arkansas,2018,5,2382328.9999999977,629,45,497,87,5
arkansas,2018,6,2382328.9999999977,576,40,465,71,5
arkansas,2018,7,2382328.9999999977,604,45,457,102,5
arkansas,2018,8,2382328.9999999977,622,51,508,63,5
arkansas,2018,9,2382328.9999999977,595,44,477,74,5
arkansas,2018,10,2382328.9999999977,597,49,469,79,5
arkansas,2018,11,2382328.9999999977,461,33,372,56,5
arkansas,2018,12,2382328.9999999977,505,37,418,50,5
arkansas,2019,1,2386317.000000003,700,37,572,91,5
arkansas,2019,2,2386317.000000003,685,44,563,78,5
arkansas,2019,3,2386317.000000003,827,38,700,89,5
arkansas,2019,4,2386317.000000003,773,43,663,67,5
arkansas,2019,5,2386317.000000003,749,38,647,64,5
arkansas,2019,6,2386317.000000003,707,34,605,68,5
arkansas,2019,7,2386317.000000003,818,48,690,80,5
arkansas,2019,8,2386317.000000003,809,45,692,72,5
arkansas,2019,9,2386317.000000003,776,36,660,80,5
arkansas,2019,10,2386317.000000003,734,27,626,81,5
arkansas,2019,11,2386317.000000003,565,20,499,46,5
arkansas,2019,12,2386317.000000003,635,33,535,67,5
arkansas,2020,1,2394349.9999999995,752,30,658,64,5
arkansas,2020,2,2394349.9999999995,769,48,641,80,5
arkansas,2020,3,2394349.9999999995,557,22,462,73,5
arkansas,2020,4,2394349.9999999995,395,23,340,32,5
arkansas,2020,5,2394349.9999999995,571,32,459,80,5
arkansas,2020,6,2394349.9999999995,516,24,444,48,5
arkansas,2020,7,2394349.9999999995,699,32,591,76,5
arkansas,2020,8,2394349.9999999995,813,44,694,75,5
arkansas,2020,9,2394349.9999999995,801,32,688,81,5
arkansas,2020,10,2394349.9999999995,689,33,600,56,5
arkansas,2020,11,2394349.9999999995,663,25,580,58,5
arkansas,2020,12,2394349.9999999995,557,25,488,44,5
arkansas,2021,1,2390103.9999999986,716,31,606,79,5
arkansas,2021,2,2390103.9999999986,508,24,431,53,5
arkansas,2021,3,2390103.9999999986,984,38,833,113,5
arkansas,2021,4,2390103.9999999986,932,35,798,99,5
arkansas,2021,5,2390103.9999999986,806,31,697,78,5
arkansas,2021,6,2390103.9999999986,825,48,686,91,5
arkansas,2021,7,2390103.9999999986,689,31,607,51,5
arkansas,2021,8,2390103.9999999986,633,31,536,66,5
arkansas,2021,9,2390103.9999999986,664,35,559,70,5
arkansas,2021,10,2390103.9999999986,662,36,542,84,5
arkansas,2021,11,2390103.9999999986,565,22,498,45,5
arkansas,2021,12,2390103.9999999986,599,27,526,46,5
arkansas,2022,1,2396158.9999999977,520,25,431,64,5
arkansas,2022,2,2396158.9999999977,494,25,412,57,5
arkansas,2022,3,2396158.9999999977,680,35,583,62,5
arkansas,2022,4,2396158.9999999977,686,38,579,69,5
arkansas,2022,5,2396158.9999999977,628,29,527,72,5
arkansas,2022,6,2396158.9999999977,582,26,509,47,5
arkansas,2022,7,2396158.9999999977,621,43,514,64,5
arkansas,2022,8,2396158.9999999977,618,32,519,67,5
arkansas,2022,9,2396158.9999999977,562,26,490,46,5
arkansas,2022,10,2396158.9999999977,573,25,492,56,5
arkansas,2022,11,2396158.9999999977,530,32,441,57,5
arkansas,2022,12,2396158.9999999977,552,27,465,60,5
arkansas,2023,1,2416719.000000002,620,43,510,67,5
arkansas,2023,2,2416719.000000002,584,46,473,65,5
arkansas,2023,3,2416719.000000002,672,40,569,63,5
arkansas,2023,4,2416719.000000002,652,46,525,81,5
arkansas,2023,5,2416719.000000002,617,41,517,59,5
arkansas,2023,6,2416719.000000002,581,32,494,55,5
arkansas,2023,7,2416719.000000002,618,41,528,49,5
arkansas,2023,8,2416719.000000002,625,35,513,77,5
arkansas,2023,9,2416719.000000002,571,35,467,69,5
arkansas,2023,10,2416719.000000002,506,38,430,38,5
arkansas,2023,11,2416719.000000002,462,28,386,48,5
arkansas,2023,12,2416719.000000002,482,32,402,48,5
arkansas,2024,1,2416687.0000000014,428,26,368,34,5
arkansas,2024,2,2416687.0000000014,574,34,474,66,5
arkansas,2024,3,2416687.0000000014,604,24,506,74,5
arkansas,2024,4,2416687.0000000014,604,39,497,68,5
arkansas,2024,5,2416687.0000000014,595,31,489,75,5
arkansas,2024,6,2416687.0000000014,532,34,445,53,5
arkansas,2024,7,2416687.0000000014,578,36,476,66,5
arkansas,2024,8,2416687.0000000014,584,28,483,73,5
arkansas,2024,9,2416687.0000000014,459,22,373,64,5
arkansas,2024,10,2416687.0000000014,476,36,381,59,5
arkansas,2024,11,2416687.0000000014,458,15,381,62,5
arkansas,2024,12,2416687.0000000014,441,24,374,43,5
california,2018,1,4529427.000000001,1785,0,890,895,6
california,2018,2,4529427.000000001,1801,0,872,929,6
california,2018,3,4529427.000000001,1898,0,793,1105,6
california,2018,4,4529427.000000001,1775,0,713,1062,6
california,2018,5,4529427.000000001,1876,0,755,1121,6
california,2018,6,4529427.000000001,1896,0,769,1127,6
california,2018,7,4529427.000000001,1968,0,770,1198,6
california,2018,8,4529427.000000001,2110,0,836,1274,6
california,2018,9,4529427.000000001,2028,0,824,1204,6
california,2018,10,4529427.000000001,2063,0,866,1197,6
california,2018,11,4529427.000000001,1870,0,744,1126,6
california,2018,12,4529427.000000001,1864,0,738,1126,6
california,2019,1,4532710.000000006,1940,0,766,1174,6
california,2019,2,4532710.000000006,1695,0,673,1022,6
california,2019,3,4532710.000000006,2217,0,885,1332,6
california,2019,4,4532710.000000006,1996,0,764,1232,6
california,2019,5,4532710.000000006,1946,0,818,1128,6
california,2019,6,4532710.000000006,1797,0,781,1016,6
california,2019,7,4532710.000000006,2184,0,911,1273,6
california,2019,8,4532710.000000006,2105,0,858,1247,6
california,2019,9,4532710.000000006,1892,0,747,1145,6
california,2019,10,4532710.000000006,1993,0,764,1229,6
california,2019,11,4532710.000000006,1787,0,736,1051,6
california,2019,12,4532710.000000006,1711,0,687,1024,6
california,2020,1,4513260,1992,0,811,1181,6
california,2020,2,4513260,1953,0,746,1207,6
california,2020,3,4513260,1373,0,528,845,6
california,2020,4,4513260,1279,0,426,853,6
california,2020,5,4513260,1997,0,688,1309,6
california,2020,6,4513260,1478,0,562,916,6
california,2020,7,4513260,1950,0,680,1270,6
california,2020,8,4513260,2379,0,843,1536,6
california,2020,9,4513260,2219,0,824,1395,6
california,2020,10,4513260,2203,0,799,1404,6
california,2020,11,4513260,1932,0,787,1145,6
california,2020,12,4513260,1526,0,666,860,6
california,2021,1,4502879.000000004,1198,45,919,234,6
california,2021,2,4502879.000000004,1521,49,1215,257,6
california,2021,3,4502879.000000004,1206,48,914,244,6
california,2021,4,4502879.000000004,1165,38,930,197,6
california,2021,5,4502879.000000004,1095,42,881,172,6
california,2021,6,4502879.000000004,987,36,749,202,6
california,2021,7,4502879.000000004,1160,48,900,212,6
california,2021,8,4502879.000000004,1054,34,859,161,6
california,2021,9,4502879.000000004,999,36,816,147,6
california,2021,10,4502879.000000004,835,38,680,117,6
california,2021,11,4502879.000000004,818,41,650,127,6
california,2021,12,4502879.000000004,900,27,729,144,6
california,2022,1,4447942.000000003,897,32,749,116,6
california,2022,2,4447942.000000003,919,45,739,135,6
california,2022,3,4447942.000000003,1183,60,957,166,6
california,2022,4,4447942.000000003,1171,56,997,118,6
california,2022,5,4447942.000000003,1063,46,893,124,6
california,2022,6,4447942.000000003,1002,53,855,94,6
california,2022,7,4447942.000000003,1111,40,951,120,6
california,2022,8,4447942.000000003,1114,46,949,119,6
california,2022,9,4447942.000000003,993,51,849,93,6
california,2022,10,4447942.000000003,997,57,854,86,6
california,2022,11,4447942.000000003,810,48,674,88,6
california,2022,12,4447942.000000003,933,55,802,76,6
california,2023,1,4441265.999999999,945,50,805,90,6
california,2023,2,4441265.999999999,883,37,735,111,6
california,2023,3,4441265.999999999,975,52,810,113,6
california,2023,4,4441265.999999999,986,56,836,94,6
california,2023,5,4441265.999999999,1029,30,884,115,6
california,2023,6,4441265.999999999,1006,54,879,73,6
california,2023,7,4441265.999999999,990,44,839,107,6
california,2023,8,4441265.999999999,992,48,837,107,6
california,2023,9,4441265.999999999,968,63,805,100,6
california,2023,10,4441265.999999999,1010,68,853,89,6
california,2023,11,4441265.999999999,962,46,809,107,6
california,2023,12,4441265.999999999,890,53,745,92,6
california,2024,1,4480679.999999997,975,50,850,75,6
california,2024,2,4480679.999999997,869,49,740,80,6
california,2024,3,4480679.999999997,1023,59,871,93,6
california,2024,4,4480679.999999997,924,42,801,81,6
california,2024,5,4480679.999999997,1036,57,877,102,6
california,2024,6,4480679.999999997,914,51,801,62,6
california,2024,7,4480679.999999997,1057,46,919,92,6
california,2024,8,4480679.999999997,1094,60,950,84,6
california,2024,9,4480679.999999997,976,52,843,81,6
california,2024,10,4480679.999999997,987,54,852,81,6
california,2024,11,4480679.999999997,884,44,754,86,6
california,2024,12,4480679.999999997,773,37,683,53,6
colorado,2018,1,4827433.999999998,873,10,570,293,8
colorado,2018,2,4827433.999999998,737,5,455,277,8
colorado,2018,3,4827433.999999998,970,13,646,311,8
colorado,2018,4,4827433.999999998,969,16,599,354,8
colorado,2018,5,4827433.999999998,912,12,607,293,8
colorado,2018,6,4827433.999999998,942,11,611,320,8
colorado,2018,7,4827433.999999998,941,8,622,311,8
colorado,2018,8,4827433.999999998,1003,16,641,346,8
