state_fips,year,month,time,joshi,spencer,pop
1,2018,1,1,56,49,4864680
2,2018,1,1,11,10,738516
4,2018,1,1,146,129,6946685
5,2018,1,1,37,32,2990671
6,2018,1,1,475,429,39148760
8,2018,1,1,100,90,5531141
9,2018,1,1,66,61,3581504
10,2018,1,1,27,23,949495
12,2018,1,1,438,411,20598139
13,2018,1,1,100,86,10297484
15,2018,1,1,17,16,1422029
16,2018,1,1,14,13,1687809
17,2018,1,1,242,223,12821497
18,2018,1,1,138,122,6637426
19,2018,1,1,27,19,3132499
20,2018,1,1,30,23,2908776
21,2018,1,1,109,105,4440204
22,2018,1,1,102,96,4663616
23,2018,1,1,28,22,1332813
24,2018,1,1,212,57,6003435
25,2018,1,1,208,201,6830193
26,2018,1,1,243,206,9957488
27,2018,1,1,46,42,5527358
28,2018,1,1,23,21,2988762
29,2018,1,1,124,111,6090062
30,2018,1,1,11,1,1041732
31,2018,1,1,7,7,1904760
32,2018,1,1,57,47,2922849
33,2018,1,1,29,29,1343622
34,2018,1,1,218,211,8881845
35,2018,1,1,41,30,2092434
36,2018,1,1,374,327,19618453
37,2018,1,1,199,185,10155624
38,2018,1,1,10,4,752201
39,2018,1,1,298,285,11641879
40,2018,1,1,69,59,3918137
41,2018,1,1,58,47,4081943
42,2018,1,1,361,342,12791181
44,2018,1,1,20,16,1056611
45,2018,1,1,85,79,4955925
46,2018,1,1,3,1,864289
47,2018,1,1,136,125,6651089
48,2018,1,1,236,208,27885195
49,2018,1,1,51,43,3045350
50,2018,1,1,10,10,624977
51,2018,1,1,98,89,8413774
53,2018,1,1,93,82,7294336
54,2018,1,1,61,61,1829054
55,2018,1,1,86,81,5778394
56,2018,1,1,8,6,581836
11,2018,1,1,18,16,684498
1,2019,1,13,40,39,4876250
2,2019,1,13,13,11,737068
4,2019,1,13,142,122,7050299
5,2019,1,13,43,37,2999370
6,2019,1,13,498,449,39283497
8,2019,1,13,88,69,5610349
9,2019,1,13,83,75,3575074
10,2019,1,13,31,28,957248
12,2019,1,13,427,395,20901636
13,2019,1,13,109,96,10403847
15,2019,1,13,28,22,1422094
16,2019,1,13,19,13,1717750
17,2019,1,13,197,179,12770631
18,2019,1,13,117,106,6665703
19,2019,1,13,28,24,3139508
20,2019,1,13,37,27,2910652
21,2019,1,13,113,105,4449052
22,2019,1,13,97,90,4664362
23,2019,1,13,14,14,1335492
24,2019,1,13,213,42,6018848
25,2019,1,13,182,174,6850553
26,2019,1,13,181,140,9965265
27,2019,1,13,73,68,5563378
28,2019,1,13,21,18,2984418
29,2019,1,13,153,135,6104910
30,2019,1,13,14,11,1050649
31,2019,1,13,14,2,1914571
32,2019,1,13,69,61,2972382
33,2019,1,13,29,25,1348124
34,2019,1,13,181,173,8878503
35,2019,1,13,29,26,2092454
36,2019,1,13,256,227,19572319
37,2019,1,13,178,162,10264876
38,2019,1,13,8,6,756717
39,2019,1,13,330,305,11655397
40,2019,1,13,41,36,3932870
41,2019,1,13,49,42,4129803
42,2019,1,13,349,314,12791530
44,2019,1,13,33,27,1057231
45,2019,1,13,96,88,5020806
46,2019,1,13,5,3,870638
47,2019,1,13,179,166,6709356
48,2019,1,13,235,210,28260856
49,2019,1,13,55,45,3096848
50,2019,1,13,13,11,624313
51,2019,1,13,128,118,8454463
53,2019,1,13,112,100,7404107
54,2019,1,13,66,63,1817305
55,2019,1,13,80,67,5790716
56,2019,1,13,8,8,581024
11,2019,1,13,24,24,692683
1,2020,1,25,55,49,4893186
2,2020,1,25,14,10,736990
4,2020,1,25,184,161,7174064
5,2020,1,25,48,42,3011873
6,2020,1,25,590,552,39346023
8,2020,1,25,108,95,5684926
9,2020,1,25,114,108,3570549
10,2020,1,25,36,33,967679
12,2020,1,25,532,490,21216924
13,2020,1,25,120,103,10516579
15,2020,1,25,17,14,1420074
16,2020,1,25,20,13,1754367
17,2020,1,25,262,247,12716164
18,2020,1,25,165,149,6696893
19,2020,1,25,24,17,3150011
20,2020,1,25,44,36,2912619
21,2020,1,25,119,109,4461952
22,2020,1,25,124,114,4664616
23,2020,1,25,42,36,1340825
24,2020,1,25,187,39,6037624
25,2020,1,25,163,154,6873003
26,2020,1,25,183,142,9973907
27,2020,1,25,67,58,5600166
28,2020,1,25,34,28,2981835
29,2020,1,25,147,134,6124160
30,2020,1,25,14,10,1061705
31,2020,1,25,12,11,1923826
32,2020,1,25,59,50,3030281
33,2020,1,25,31,29,1355244
34,2020,1,25,248,234,8885418
35,2020,1,25,54,51,2097021
36,2020,1,25,358,324,19514849
37,2020,1,25,222,195,10386227
38,2020,1,25,12,10,760394
39,2020,1,25,353,338,11675275
40,2020,1,25,40,33,3949342
41,2020,1,25,60,51,4176346
42,2020,1,25,386,361,12794885
44,2020,1,25,34,30,1057798
45,2020,1,25,112,103,5091517
46,2020,1,25,8,3,879336
47,2020,1,25,203,192,6772268
48,2020,1,25,297,269,28635442
49,2020,1,25,47,38,3151239
50,2020,1,25,11,11,624340
51,2020,1,25,154,145,8509358
53,2020,1,25,124,110,7512465
54,2020,1,25,83,79,1807426
55,2020,1,25,115,110,5806975
56,2020,1,25,10,6,581348
11,2020,1,25,45,45,701974
1,2021,1,37,98,96,4997675
2,2021,1,37,13,13,735951
4,2021,1,37,212,199,7079203
5,2021,1,37,47,41,3006309
6,2021,1,37,989,948,39455353
8,2021,1,37,153,137,5723176
9,2021,1,37,123,123,3605330
10,2021,1,37,42,41,981892
12,2021,1,37,640,609,21339762
13,2021,1,37,168,157,10625615
15,2021,1,37,16,14,1453498
16,2021,1,37,24,20,1811617
17,2021,1,37,243,229,12821813
18,2021,1,37,230,218,6751340
19,2021,1,37,33,26,3179090
20,2021,1,37,48,44,2932099
21,2021,1,37,203,193,4494141
22,2021,1,37,217,203,4657305
23,2021,1,37,54,52,1357046
24,2021,1,37,257,98,6148545
25,2021,1,37,200,192,6991852
26,2021,1,37,248,201,10062512
27,2021,1,37,108,95,5670472
28,2021,1,37,64,60,2967023
29,2021,1,37,178,168,6141534
30,2021,1,37,22,19,1077978
31,2021,1,37,15,12,1951480
32,2021,1,37,84,73,3059238
33,2021,1,37,27,26,1372175
34,2021,1,37,253,249,9234024
35,2021,1,37,71,64,2109366
36,2021,1,37,533,477,20114745
37,2021,1,37,322,304,10367022
38,2021,1,37,14,12,773344
39,2021,1,37,460,439,11769923
40,2021,1,37,71,67,3948136
41,2021,1,37,100,90,4207177
42,2021,1,37,448,411,12970650
44,2021,1,37,39,35,1091949
45,2021,1,37,161,154,5078903
46,2021,1,37,9,9,881785
47,2021,1,37,327,311,6859497
48,2021,1,37,397,362,28862581
49,2021,1,37,59,47,3231370
50,2021,1,37,16,16,641637
51,2021,1,37,228,221,8582479
53,2021,1,37,177,163,7617364
54,2021,1,37,150,144,1801049
55,2021,1,37,133,120,5871661
56,2021,1,37,6,6,576641
11,2021,1,37,47,46,683154
1,2022,1,49,96,92,4997675
2,2022,1,49,11,11,735951
4,2022,1,49,202,178,7079203
5,2022,1,49,54,47,3006309
6,2022,1,49,941,889,39455353
8,2022,1,49,167,150,5723176
9,2022,1,49,108,102,3605330
10,2022,1,49,48,46,981892
12,2022,1,49,623,578,21339762
13,2022,1,49,225,207,10625615
15,2022,1,49,23,22,1453498
16,2022,1,49,40,36,1811617
17,2022,1,49,362,342,12821813
18,2022,1,49,233,207,6751340
19,2022,1,49,41,35,3179090
20,2022,1,49,60,53,2932099
21,2022,1,49,182,176,4494141
22,2022,1,49,232,215,4657305
23,2022,1,49,41,39,1357046
24,2022,1,49,233,106,6148545
25,2022,1,49,203,190,6991852
26,2022,1,49,264,220,10062512
27,2022,1,49,124,115,5670472
28,2022,1,49,62,57,2967023
29,2022,1,49,192,179,6141534
30,2022,1,49,18,17,1077978
31,2022,1,49,10,7,1951480
32,2022,1,49,81,78,3059238
33,2022,1,49,51,49,1372175
34,2022,1,49,292,274,9234024
35,2022,1,49,82,78,2109366
36,2022,1,49,522,478,20114745
37,2022,1,49,331,310,10367022
38,2022,1,49,5,5,773344
39,2022,1,49,425,404,11769923
40,2022,1,49,95,91,3948136
41,2022,1,49,102,90,4207177
42,2022,1,49,432,411,12970650
44,2022,1,49,37,36,1091949
45,2022,1,49,199,191,5078903
46,2022,1,49,9,9,881785
47,2022,1,49,273,264,6859497
48,2022,1,49,396,368,28862581
49,2022,1,49,67,53,3231370
50,2022,1,49,22,20,641637
51,2022,1,49,200,192,8582479
53,2022,1,49,208,192,7617364
54,2022,1,49,119,118,1801049
55,2022,1,49,189,173,5871661
56,2022,1,49,11,6,576641
11,2022,1,49,43,43,683154
1,2023,1,61,138,134,4997675
2,2023,1,61,33,30,735951
4,2023,1,61,216,199,7079203
5,2023,1,61,35,29,3006309
6,2023,1,61,1038,989,39455353
8,2023,1,61,147,133,5723176
9,2023,1,61,108,99,3605330
10,2023,1,61,53,53,981892
12,2023,1,61,628,585,21339762
13,2023,1,61,214,205,10625615
15,2023,1,61,15,14,1453498
16,2023,1,61,27,23,1811617
17,2023,1,61,299,276,12821813
18,2023,1,61,197,181,6751340
19,2023,1,61,36,30,3179090
20,2023,1,61,62,58,2932099
21,2023,1,61,180,171,4494141
22,2023,1,61,187,170,4657305
23,2023,1,61,53,48,1357046
24,2023,1,61,214,131,6148545
25,2023,1,61,228,211,6991852
26,2023,1,61,282,220,10062512
27,2023,1,61,119,107,5670472
28,2023,1,61,59,58,2967023
29,2023,1,61,183,168,6141534
30,2023,1,61,18,17,1077978
31,2023,1,61,16,14,1951480
32,2023,1,61,76,73,3059238
33,2023,1,61,39,38,1372175
34,2023,1,61,216,209,9234024
35,2023,1,61,81,77,2109366
36,2023,1,61,578,551,20114745
37,2023,1,61,353,341,10367022
38,2023,1,61,15,14,773344
39,2023,1,61,428,404,11769923
40,2023,1,61,110,100,3948136
41,2023,1,61,143,129,4207177
42,2023,1,61,451,420,12970650
44,2023,1,61,45,40,1091949
45,2023,1,61,188,177,5078903
46,2023,1,61,9,9,881785
47,2023,1,61,306,291,6859497
48,2023,1,61,461,420,28862581
49,2023,1,61,68,50,3231370
50,2023,1,61,20,16,641637
51,2023,1,61,223,212,8582479
53,2023,1,61,303,285,7617364
54,2023,1,61,116,114,1801049
55,2023,1,61,163,153,5871661
56,2023,1,61,11,11,576641
11,2023,1,61,41,39,683154
1,2018,2,2,73,64,4864680
2,2018,2,2,5,3,738516
4,2018,2,2,99,78,6946685
5,2018,2,2,22,17,2990671
6,2018,2,2,419,374,39148760
8,2018,2,2,80,67,5531141
9,2018,2,2,86,80,3581504
10,2018,2,2,27,27,949495
12,2018,2,2,371,335,20598139
13,2018,2,2,98,83,10297484
15,2018,2,2,20,19,1422029
16,2018,2,2,18,12,1687809
17,2018,2,2,207,186,12821497
18,2018,2,2,120,111,6637426
19,2018,2,2,25,22,3132499
20,2018,2,2,22,12,2908776
21,2018,2,2,122,116,4440204
22,2018,2,2,101,89,4663616
23,2018,2,2,23,22,1332813
24,2018,2,2,224,67,6003435
25,2018,2,2,175,171,6830193
26,2018,2,2,230,197,9957488
27,2018,2,2,61,51,5527358
28,2018,2,2,32,26,2988762
29,2018,2,2,122,111,6090062
30,2018,2,2,4,4,1041732
31,2018,2,2,13,11,1904760
32,2018,2,2,55,50,2922849
33,2018,2,2,37,32,1343622
34,2018,2,2,194,188,8881845
35,2018,2,2,33,29,2092434
36,2018,2,2,269,241,19618453
37,2018,2,2,162,146,10155624
38,2018,2,2,8,6,752201
39,2018,2,2,315,302,11641879
40,2018,2,2,52,46,3918137
41,2018,2,2,36,28,4081943
42,2018,2,2,292,257,12791181
44,2018,2,2,21,21,1056611
45,2018,2,2,81,76,4955925
46,2018,2,2,0,0,864289
47,2018,2,2,159,141,6651089
48,2018,2,2,254,218,27885195
49,2018,2,2,58,48,3045350
50,2018,2,2,12,5,624977
51,2018,2,2,113,102,8413774
53,2018,2,2,97,89,7294336
54,2018,2,2,75,73,1829054
55,2018,2,2,91,77,5778394
56,2018,2,2,9,2,581836
11,2018,2,2,21,21,684498
1,2019,2,14,52,46,4876250
2,2019,2,14,17,11,737068
4,2019,2,14,121,104,7050299
5,2019,2,14,34,28,2999370
6,2019,2,14,459,416,39283497
8,2019,2,14,87,74,5610349
9,2019,2,14,79,74,3575074
10,2019,2,14,25,25,957248
12,2019,2,14,387,347,20901636
13,2019,2,14,98,89,10403847
15,2019,2,14,22,19,1422094
16,2019,2,14,29,23,1717750
17,2019,2,14,175,160,12770631
18,2019,2,14,121,107,6665703
19,2019,2,14,24,20,3139508
20,2019,2,14,35,29,2910652
21,2019,2,14,102,98,4449052
22,2019,2,14,94,84,4664362
23,2019,2,14,29,26,1335492
24,2019,2,14,185,30,6018848
25,2019,2,14,162,150,6850553
26,2019,2,14,180,140,9965265
27,2019,2,14,54,44,5563378
28,2019,2,14,17,16,2984418
29,2019,2,14,125,114,6104910
30,2019,2,14,11,5,1050649
31,2019,2,14,15,13,1914571
32,2019,2,14,60,51,2972382
33,2019,2,14,40,36,1348124
34,2019,2,14,233,225,8878503
35,2019,2,14,46,41,2092454
36,2019,2,14,286,254,19572319
37,2019,2,14,200,183,10264876
38,2019,2,14,10,3,756717
39,2019,2,14,290,276,11655397
40,2019,2,14,40,35,3932870
41,2019,2,14,44,36,4129803
42,2019,2,14,300,282,12791530
44,2019,2,14,22,22,1057231
45,2019,2,14,83,76,5020806
46,2019,2,14,9,9,870638
47,2019,2,14,139,127,6709356
48,2019,2,14,197,169,28260856
49,2019,2,14,48,41,3096848
50,2019,2,14,15,14,624313
51,2019,2,14,123,112,8454463
53,2019,2,14,96,82,7404107
54,2019,2,14,51,49,1817305
55,2019,2,14,78,70,5790716
56,2019,2,14,8,8,581024
11,2019,2,14,26,26,692683
1,2020,2,26,70,65,4893186
2,2020,2,26,3,3,736990
4,2020,2,26,160,147,7174064
5,2020,2,26,37,28,3011873
6,2020,2,26,600,551,39346023
8,2020,2,26,97,82,5684926
9,2020,2,26,92,88,3570549
10,2020,2,26,44,43,967679
12,2020,2,26,523,495,21216924
13,2020,2,26,138,124,10516579
15,2020,2,26,15,13,1420074
16,2020,2,26,23,19,1754367
17,2020,2,26,273,259,12716164
18,2020,2,26,159,133,6696893
19,2020,2,26,40,31,3150011
