state_fips,pop,year
1,4997675,2023
2,735951,2023
4,7079203,2023
5,3006309,2023
6,39455353,2023
8,5723176,2023
9,3605330,2023
10,981892,2023
11,683154,2023
12,21339762,2023
13,10625615,2023
15,1453498,2023
16,1811617,2023
17,12821813,2023
18,6751340,2023
19,3179090,2023
20,2932099,2023
21,4494141,2023
22,4657305,2023
23,1357046,2023
24,6148545,2023
25,6991852,2023
26,10062512,2023
27,5670472,2023
28,2967023,2023
29,6141534,2023
30,1077978,2023
31,1951480,2023
32,3059238,2023
33,1372175,2023
34,9234024,2023
35,2109366,2023
36,20114745,2023
37,10367022,2023
38,773344,2023
39,11769923,2023
40,3948136,2023
41,4207177,2023
42,12970650,2023
44,1091949,2023
45,5078903,2023
46,881785,2023
47,6859497,2023
48,28862581,2023
49,3231370,2023
50,641637,2023
51,8582479,2023
53,7617364,2023
54,1801049,2023
55,5871661,2023
56,576641,2023
72,3311274,2023
1,4997675,2022
2,735951,2022
4,7079203,2022
5,3006309,2022
6,39455353,2022
8,5723176,2022
9,3605330,2022
10,981892,2022
11,683154,2022
12,21339762,2022
13,10625615,2022
15,1453498,2022
16,1811617,2022
17,12821813,2022
18,6751340,2022
19,3179090,2022
20,2932099,2022
21,4494141,2022
22,4657305,2022
23,1357046,2022
24,6148545,2022
25,6991852,2022
26,10062512,2022
27,5670472,2022
28,2967023,2022
29,6141534,2022
30,1077978,2022
31,1951480,2022
32,3059238,2022
33,1372175,2022
34,9234024,2022
35,2109366,2022
36,20114745,2022
37,10367022,2022
38,773344,2022
39,11769923,2022
40,3948136,2022
41,4207177,2022
42,12970650,2022
44,1091949,2022
45,5078903,2022
46,881785,2022
47,6859497,2022
48,28862581,2022
49,3231370,2022
50,641637,2022
51,8582479,2022
53,7617364,2022
54,1801049,2022
55,5871661,2022
56,576641,2022
72,3311274,2022
1,4997675,2021
2,735951,2021
4,7079203,2021
5,3006309,2021
6,39455353,2021
8,5723176,2021
9,3605330,2021
10,981892,2021
11,683154,2021
12,21339762,2021
13,10625615,2021
15,1453498,2021
16,1811617,2021
17,12821813,2021
18,6751340,2021
19,3179090,2021
20,2932099,2021
21,4494141,2021
22,4657305,2021
23,1357046,2021
24,6148545,2021
25,6991852,2021
26,10062512,2021
27,5670472,2021
28,2967023,2021
29,6141534,2021
30,1077978,2021
31,1951480,2021
32,3059238,2021
33,1372175,2021
34,9234024,2021
35,2109366,2021
36,20114745,2021
37,10367022,2021
38,773344,2021
39,11769923,2021
40,3948136,2021
41,4207177,2021
42,12970650,2021
44,1091949,2021
45,5078903,2021
46,881785,2021
47,6859497,2021
48,28862581,2021
49,3231370,2021
50,641637,2021
51,8582479,2021
53,7617364,2021
54,1801049,2021
55,5871661,2021
56,576641,2021
72,3311274,2021
1,4893186,2020
2,736990,2020
4,7174064,2020
5,3011873,2020
6,39346023,2020
8,5684926,2020
9,3570549,2020
10,967679,2020
11,701974,2020
12,21216924,2020
13,10516579,2020
15,1420074,2020
16,1754367,2020
17,12716164,2020
18,6696893,2020
19,3150011,2020
20,2912619,2020
21,4461952,2020
22,4664616,2020
23,1340825,2020
24,6037624,2020
25,6873003,2020
26,9973907,2020
27,5600166,2020
28,2981835,2020
29,6124160,2020
30,1061705,2020
31,1923826,2020
32,3030281,2020
33,1355244,2020
34,8885418,2020
35,2097021,2020
36,19514849,2020
37,10386227,2020
38,760394,2020
39,11675275,2020
40,3949342,2020
41,4176346,2020
42,12794885,2020
44,1057798,2020
45,5091517,2020
46,879336,2020
47,6772268,2020
48,28635442,2020
49,3151239,2020
50,624340,2020
51,8509358,2020
53,7512465,2020
54,1807426,2020
55,5806975,2020
56,581348,2020
72,3255642,2020
1,4876250,2019
2,737068,2019
4,7050299,2019
5,2999370,2019
6,39283497,2019
8,5610349,2019
9,3575074,2019
10,957248,2019
11,692683,2019
12,20901636,2019
13,10403847,2019
15,1422094,2019
16,1717750,2019
17,12770631,2019
18,6665703,2019
19,3139508,2019
20,2910652,2019
21,4449052,2019
22,4664362,2019
23,1335492,2019
24,6018848,2019
25,6850553,2019
26,9965265,2019
27,5563378,2019
28,2984418,2019
29,6104910,2019
30,1050649,2019
31,1914571,2019
32,2972382,2019
33,1348124,2019
34,8878503,2019
35,2092454,2019
36,19572319,2019
37,10264876,2019
38,756717,2019
39,11655397,2019
40,3932870,2019
41,4129803,2019
42,12791530,2019
44,1057231,2019
45,5020806,2019
46,870638,2019
47,6709356,2019
48,28260856,2019
49,3096848,2019
50,624313,2019
51,8454463,2019
53,7404107,2019
54,1817305,2019
55,5790716,2019
56,581024,2019
72,3318447,2019
1,4864680,2018
2,738516,2018
4,6946685,2018
5,2990671,2018
6,39148760,2018
8,5531141,2018
9,3581504,2018
10,949495,2018
11,684498,2018
12,20598139,2018
13,10297484,2018
15,1422029,2018
16,1687809,2018
17,12821497,2018
18,6637426,2018
19,3132499,2018
20,2908776,2018
21,4440204,2018
22,4663616,2018
23,1332813,2018
24,6003435,2018
25,6830193,2018
26,9957488,2018
27,5527358,2018
28,2988762,2018
29,6090062,2018
30,1041732,2018
31,1904760,2018
32,2922849,2018
33,1343622,2018
34,8881845,2018
35,2092434,2018
36,19618453,2018
37,10155624,2018
38,752201,2018
39,11641879,2018
40,3918137,2018
41,4081943,2018
42,12791181,2018
44,1056611,2018
45,4955925,2018
46,864289,2018
47,6651089,2018
48,27885195,2018
49,3045350,2018
50,624977,2018
51,8413774,2018
53,7294336,2018
54,1829054,2018
55,5778394,2018
56,581836,2018
72,3386941,2018
1,4850771,2017
2,738565,2017
4,6809946,2017
5,2977944,2017
6,38982847,2017
8,5436519,2017
9,3594478,2017
10,943732,2017
11,672391,2017
12,20278447,2017
13,10201635,2017
15,1421658,2017
16,1657375,2017
17,12854526,2017
18,6614418,2017
19,3118102,2017
20,2903820,2017
21,4424376,2017
22,4663461,2017
23,1330158,2017
24,5996079,2017
25,6789319,2017
26,9925568,2017
27,5490726,2017
28,2986220,2017
29,6075300,2017
30,1029862,2017
31,1893921,2017
32,2887725,2017
33,1331848,2017
34,8960161,2017
35,2084828,2017
36,19798228,2017
37,10052564,2017
38,745475,2017
39,11609756,2017
40,3896251,2017
41,4025127,2017
42,12790505,2017
44,1056138,2017
45,4893444,2017
46,855444,2017
47,6597381,2017
48,27419612,2017
49,2993941,2017
50,624636,2017
51,8365952,2017
53,7169967,2017
54,1836843,2017
55,5763217,2017
56,583200,2017
72,3468963,2017
1,4841164,2016
2,736855,2016
4,6728577,2016
5,2968472,2016
6,38654206,2016
8,5359295,2016
9,3588570,2016
10,934695,2016
11,659009,2016
12,19934451,2016
13,10099320,2016
15,1413673,2016
16,1635483,2016
17,12851684,2016
18,6589578,2016
19,3106589,2016
20,2898292,2016
21,4411989,2016
22,4645670,2016
23,1329923,2016
24,5959902,2016
25,6742143,2016
26,9909600,2016
27,5450868,2016
28,2989192,2016
29,6059651,2016
30,1023391,2016
31,1881259,2016
32,2839172,2016
33,1327503,2016
34,8915456,2016
35,2082669,2016
36,19697457,2016
37,9940828,2016
38,736162,2016
39,11586941,2016
40,3875589,2016
41,3982267,2016
42,12783977,2016
44,1054491,2016
45,4834605,2016
46,851058,2016
47,6548009,2016
48,26956435,2016
49,2948427,2016
50,626249,2016
51,8310301,2016
53,7073146,2016
54,1846092,2016
55,5754798,2016
56,583029,2016
72,3529385,2016
1,4830620,2015
2,733375,2015
4,6641928,2015
5,2958208,2015
6,38421464,2015
8,5278906,2015
9,3593222,2015
10,926454,2015
11,647484,2015
12,19645772,2015
13,10006693,2015
15,1406299,2015
16,1616547,2015
17,12873761,2015
18,6568645,2015
19,3093526,2015
20,2892987,2015
21,4397353,2015
22,4625253,2015
23,1329100,2015
24,5930538,2015
25,6705586,2015
26,9900571,2015
27,5419171,2015
28,2988081,2015
29,6045448,2015
30,1014699,2015
31,1869365,2015
32,2798636,2015
33,1324201,2015
34,8904413,2015
35,2084117,2015
36,19673174,2015
37,9845333,2015
38,721640,2015
39,11575977,2015
40,3849733,2015
41,3939233,2015
42,12779559,2015
44,1053661,2015
45,4777576,2015
46,843190,2015
47,6499615,2015
48,26538614,2015
49,2903379,2015
50,626604,2015
51,8256630,2015
53,6985464,2015
54,1851420,2015
55,5742117,2015
56,579679,2015
72,3583073,2015
1,4817678,2014
2,728300,2014
4,6561516,2014
5,2947036,2014
6,38066920,2014
8,5197580,2014
9,3592053,2014
10,917060,2014
11,633736,2014
12,19361792,2014
13,9907756,2014
15,1392704,2014
16,1599464,2014
17,12868747,2014
18,6542411,2014
19,3078116,2014
20,2882946,2014
21,4383272,2014
22,4601049,2014
23,1328535,2014
24,5887776,2014
25,6657291,2014
26,9889024,2014
27,5383661,2014
28,2984345,2014
29,6028076,2014
30,1006370,2014
31,1855617,2014
32,2761584,2014
33,1321069,2014
34,8874374,2014
35,2080085,2014
36,19594330,2014
37,9750405,2014
38,704925,2014
39,11560380,2014
40,3818851,2014
41,3900343,2014
42,12758729,2014
44,1053252,2014
45,4727273,2014
46,834708,2014
47,6451365,2014
48,26092033,2014
49,2858111,2014
50,626358,2014
51,8185131,2014
53,6899123,2014
54,1853881,2014
55,5724692,2014
56,575251,2014
72,3638965,2014
1,4799277,2013
2,720316,2013
4,6479703,2013
5,2933369,2013
6,37659181,2013
8,5119329,2013
9,3583561,2013
10,908446,2013
11,619371,2013
12,19091156,2013
13,9810417,2013
15,1376298,2013
16,1583364,2013
17,12848554,2013
18,6514861,2013
19,3062553,2013
20,2868107,2013
21,4361333,2013
22,4567968,2013
23,1328320,2013
24,5834299,2013
25,6605058,2013
26,9886095,2013
27,5347740,2013
28,2976872,2013
29,6007182,2013
30,998554,2013
31,1841625,2013
32,2730066,2013
33,1319171,2013
34,8832406,2013
35,2069706,2013
36,19487053,2013
37,9651380,2013
38,689781,2013
39,11549590,2013
40,3785742,2013
41,3868721,2013
42,12731381,2013
44,1051695,2013
45,4679602,2013
46,825198,2013
47,6402387,2013
48,25639373,2013
49,2813673,2013
50,625904,2013
51,8100653,2013
53,6819579,2013
54,1853619,2013
55,5706871,2013
56,570134,2013
72,3682966,2013
1,4777326,2012
2,711139,2012
4,6410979,2012
5,2916372,2012
6,37325068,2012
8,5042853,2012
9,3572213,2012
10,900131,2012
11,605759,2012
12,18885152,2012
13,9714569,2012
15,1362730,2012
16,1567803,2012
17,12823860,2012
18,6485530,2012
19,3047646,2012
20,2851183,2012
21,4340167,2012
22,4529605,2012
23,1329084,2012
24,5785496,2012
25,6560595,2012
26,9897264,2012
27,5313081,2012
28,2967620,2012
29,5982413,2012
30,990785,2012
31,1827306,2012
32,2704204,2012
33,1317474,2012
34,8793888,2012
35,2055287,2012
36,19398125,2012
37,9544249,2012
38,676253,2012
39,11533561,2012
40,3749005,2012
41,3836628,2012
42,12699589,2012
44,1052471,2012
45,4630351,2012
46,815871,2012
47,6353226,2012
48,25208897,2012
49,2766233,2012
50,625498,2012
51,8014955,2012
53,6738714,2012
54,1850481,2012
55,5687219,2012
56,562803,2012
72,3716727,2012
1,4747424,2011
2,700703,2011
4,6337373,2011
5,2895928,2011
6,36969200,2011
8,4966061,2011
9,3558172,2011
10,890856,2011
11,593955,2011
12,18688787,2011
13,9600612,2011
15,1346554,2011
16,1549987,2011
17,12790182,2011
18,6454254,2011
19,3032266,2011
20,2830985,2011
21,4316040,2011
22,4484596,2011
23,1328543,2011
24,5736545,2011
25,6512227,2011
26,9920621,2011
27,5278190,2011
28,2956700,2011
29,5955802,2011
30,982854,2011
31,1813061,2011
32,2673396,2011
33,1315911,2011
34,8753064,2011
35,2037136,2011
36,19302448,2011
37,9418736,2011
38,666783,2011
39,11525536,2011
40,3714520,2011
41,3801991,2011
42,12660739,2011
44,1053959,2011
45,4575864,2011
46,807697,2011
47,6297991,2011
48,24774187,2011
49,2715379,2011
50,624958,2011
51,7926192,2011
53,6652845,2011
54,1846372,2011
55,5664893,2011
56,554697,2011
72,3742586,2011
1,4712651,2010
2,691189,2010
4,6246816,2010
5,2872684,2010
6,36637290,2010
8,4887061,2010
9,3545837,2010
10,881278,2010
11,584400,2010
12,18511620,2010
13,9468815,2010
15,1333591,2010
16,1526797,2010
17,12745359,2010
18,6417398,2010
19,3016267,2010
20,2809329,2010
21,4285828,2010
22,4429940,2010
23,1327665,2010
24,5696423,2010
25,6477096,2010
26,9952687,2010
27,5241914,2010
28,2941991,2010
29,5922314,2010
30,973739,2010
31,1799125,2010
32,2633331,2010
33,1313939,2010
34,8721577,2010
35,2013122,2010
36,19229752,2010
37,9271178,2010
38,659858,2010
39,11512431,2010
40,3675339,2010
41,3761925,2010
42,12612705,2010
44,1056389,2010
45,4511428,2010
46,799462,2010
47,6234968,2010
48,24311891,2010
49,2657236,2010
50,624258,2010
51,7841754,2010
53,6561297,2010
54,1840802,2010
55,5637947,2010
56,545579,2010
72,3762322,2010
