ST,ChangePoint,Date,longitude
AK,35,2021-04-01,-154.493062
AL,32,2019-10-01,-86.902298
AR,34,2020-10-01,-91.831833
AZ,32,2019-10-01,-111.093731
CA,34,2020-10-01,-119.417932
CO,34,2020-10-01,-105.782067
CT,24,2015-10-01,-73.087749
DC,29,2018-04-01,-77.033418
DE,26,2016-10-01,-75.52767
FL,27,2017-04-01,-81.515754
GA,34,2020-10-01,-82.907123
HI,33,2020-04-01,-155.665857
IA,27,2017-04-01,-93.097702
ID,35,2021-04-01,-114.742041
IL,27,2017-04-01,-89.398528
IN,26,2016-10-01,-85.602364
KS,35,2021-04-01,-98.484246
KY,26,2016-10-01,-84.270018
LA,34,2020-10-01,-92.145024
MA,22,2014-10-01,-71.382437
MD,26,2016-10-01,-76.641271
ME,23,2015-04-01,-69.445469
MI,33,2020-04-01,-85.602364
MN,31,2019-04-01,-94.6859
MO,29,2018-04-01,-91.831833
MS,33,2020-04-01,-89.398528
MT,36,2021-10-01,-110.362566
NC,28,2017-10-01,-79.0193
ND,33,2020-04-01,-101.002012
NE,34,2020-10-01,-99.901813
NH,22,2014-10-01,-71.572395
NJ,26,2016-10-01,-74.405661
NM,34,2020-10-01,-105.032363
NV,36,2021-10-01,-116.419389
NY,25,2016-04-01,-74.217933
OH,24,2015-10-01,-82.907123
OK,35,2021-04-01,-97.092877
OR,35,2021-04-01,-120.554201
PA,25,2016-04-01,-77.194525
RI,24,2015-10-01,-71.477429
SC,27,2017-04-01,-81.163725
SD,36,2021-10-01,-99.901813
TN,32,2019-10-01,-86.580447
TX,34,2020-10-01,-99.901813
UT,34,2020-10-01,-111.093731
VA,26,2016-10-01,-78.656894
VT,24,2015-10-01,-72.577841
WA,34,2020-10-01,-120.740139
WI,26,2016-10-01,-88.787868
WV,28,2017-10-01,-80.454903
WY,34,2020-10-01,-107.290284
