ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count
AK,1998,1,0,0
AK,1998,2,0,0
AK,1999,1,0,0
AK,1999,2,0,0
AK,2000,1,0,0
AK,2000,2,0,0
AK,2001,1,0,0
AK,2001,2,0,0
AK,2002,1,0,0
AK,2002,2,0,0
AK,2003,1,0,0
AK,2003,2,0,0
AK,2004,1,0,0
AK,2004,2,0,0
AK,2005,1,2,0
AK,2005,2,1,0
AK,2006,1,0,0
AK,2006,2,0,0
AK,2007,1,1,0
AK,2007,2,0,0
AK,2008,1,1,0
AK,2008,2,0,0
AK,2009,1,0,0
AK,2009,2,4,0
AK,2010,1,0,0
AK,2010,2,2,0
AK,2011,1,1,0
AK,2011,2,0,0
AK,2012,1,1,0
AK,2012,2,1,0
AK,2013,1,2,0
AK,2013,2,0,0
AK,2014,1,2,0
AK,2014,2,2,0
AK,2015,1,1,0
AK,2015,2,0,0
AK,2016,1,8,0
AK,2016,2,4,0
AK,2017,1,2,0
AK,2017,2,2,0
AK,2018,1,1,0
AK,2018,2,1,0
AK,2019,1,14,0
AK,2019,2,2,0
AK,2020,1,18,0
AK,2020,2,38,0
AK,2021,1,57,0
AK,2021,2,93,0
AK,2022,1,109,0
AK,2022,2,210,0
AL,1998,1,0,0
AL,1998,2,0,0
AL,1999,1,2,0
AL,1999,2,1,0
AL,2000,1,0,0
AL,2000,2,0,0
AL,2001,1,4,0
AL,2001,2,1,0
AL,2002,1,10,0
AL,2002,2,1,0
AL,2003,1,3,0
AL,2003,2,5,0
AL,2004,1,4,0
AL,2004,2,3,0
AL,2005,1,4,0
AL,2005,2,12,0
AL,2006,1,6,0
AL,2006,2,4,0
AL,2007,1,13,0
AL,2007,2,32,0
AL,2008,1,5,0
AL,2008,2,13,0
AL,2009,1,5,0
AL,2009,2,10,0
AL,2010,1,11,0
AL,2010,2,10,0
AL,2011,1,4,0
AL,2011,2,12,0
AL,2012,1,8,0
AL,2012,2,5,0
AL,2013,1,5,0
AL,2013,2,3,0
AL,2014,1,24,0
AL,2014,2,10,0
AL,2015,1,81,0
AL,2015,2,50,0
AL,2016,1,81,0
AL,2016,2,99,0
AL,2017,1,189,0
AL,2017,2,184,1
AL,2018,1,165,0
AL,2018,2,136,0
AL,2019,1,269,0
AL,2019,2,332,5
AL,2020,1,545,5
AL,2020,2,504,3
AL,2021,1,608,1
AL,2021,2,418,0
AL,2022,1,220,0
AL,2022,2,169,0
AR,1998,1,0,0
AR,1998,2,0,0
AR,1999,1,0,0
AR,1999,2,0,0
AR,2000,1,0,0
AR,2000,2,0,0
AR,2001,1,0,0
AR,2001,2,1,0
AR,2002,1,1,0
AR,2002,2,1,0
AR,2003,1,0,0
AR,2003,2,1,0
AR,2004,1,2,0
AR,2004,2,1,0
AR,2005,1,1,0
AR,2005,2,8,0
AR,2006,1,3,0
AR,2006,2,3,0
AR,2007,1,8,0
AR,2007,2,0,0
AR,2008,1,4,0
AR,2008,2,7,0
AR,2009,1,2,0
AR,2009,2,10,0
AR,2010,1,3,0
AR,2010,2,11,0
AR,2011,1,6,0
AR,2011,2,7,0
AR,2012,1,10,0
AR,2012,2,6,0
AR,2013,1,6,0
AR,2013,2,3,0
AR,2014,1,12,0
AR,2014,2,3,0
AR,2015,1,22,0
AR,2015,2,76,0
AR,2016,1,54,0
AR,2016,2,13,0
AR,2017,1,81,1
AR,2017,2,97,0
AR,2018,1,136,1
AR,2018,2,165,0
AR,2019,1,151,1
AR,2019,2,161,0
AR,2020,1,156,0
AR,2020,2,296,1
AR,2021,1,421,0
AR,2021,2,505,0
AR,2022,1,711,1
AR,2022,2,558,0
AZ,1998,1,0,0
AZ,1998,2,0,0
AZ,1999,1,0,0
AZ,1999,2,0,0
AZ,2000,1,0,0
AZ,2000,2,0,0
AZ,2001,1,0,0
AZ,2001,2,0,0
AZ,2002,1,0,0
AZ,2002,2,0,0
AZ,2003,1,0,0
AZ,2003,2,0,0
AZ,2004,1,0,0
AZ,2004,2,0,0
AZ,2005,1,0,0
AZ,2005,2,0,0
AZ,2006,1,0,0
AZ,2006,2,0,0
AZ,2007,1,3,0
AZ,2007,2,3,0
AZ,2008,1,0,0
AZ,2008,2,1,0
AZ,2009,1,1,0
AZ,2009,2,2,0
AZ,2010,1,0,0
AZ,2010,2,0,0
AZ,2011,1,0,0
AZ,2011,2,2,0
AZ,2012,1,2,0
AZ,2012,2,2,0
AZ,2013,1,2,0
AZ,2013,2,8,0
AZ,2014,1,3,0
AZ,2014,2,3,0
AZ,2015,1,9,0
AZ,2015,2,21,0
AZ,2016,1,41,0
AZ,2016,2,57,0
AZ,2017,1,160,0
AZ,2017,2,255,0
AZ,2018,1,459,0
AZ,2018,2,638,0
AZ,2019,1,1489,0
AZ,2019,2,2036,0
