ST,Year,death_rate,death_rate_abschange
DC,2022,80.2925154839191,11.1931945377211
WV,2022,79.9233184834873,-10.4320963073183
TN,2022,57.6039343859934,0.802842291093988
LA,2022,56.6603237380589,0.0432521555252308
DE,2022,55.4124841536241,3.18920772107189
NM,2022,53.263965722015,-3.92272329629747
KY,2022,52.57912704013,-2.46152809002718
ME,2022,52.4686882172087,7.14157145178675
OH,2022,46.0355872151967,-2.84379895207282
SC,2022,45.7355985362297,2.85125045634457
VT,2022,42.7529160276965,2.01372430565237
MD,2022,42.5944047561697,-3.3575939773523
RI,2022,42.4421098748642,-0.365093418278406
IN,2022,42.2569253385072,-1.95416240265003
CT,2022,41.8238643974909,-2.08009935663914
PA,2022,41.3373715756859,-1.41159526000197
NC,2022,41.161343177178,2.236720467376
AZ,2022,40.9273044216331,-0.577215173172796
MO,2022,39.7685738126941,0.778186523852149
AK,2022,38.7621763051184,-2.18378458057006
MA,2022,38.5269394362525,0.501093600991766
WA,2022,38.2364358214541,6.88746883840318
FL,2022,36.9586001239238,-0.775901046079888
NV,2022,36.736746383816,2.70357008019425
CO,2022,35.6155441375524,-0.808662113268092
NH,2022,34.9894023867668,1.72787172280329
OR,2022,34.4311500639991,5.01630298470028
NY,2022,33.4645549211675,2.91894807161132
OK,2022,33.2861841766962,5.39301401506382
NJ,2022,32.7501610530984,-1.26252680171747
IL,2022,31.5038453710458,0.520855158940137
WI,2022,31.0893589248679,-0.37314015076219
CA,2022,30.8656165441947,0.61165452651364
MI,2022,30.6542427272784,-1.49241688058804
AL,2022,30.2586749636946,0.95240419557858
VA,2022,29.4598389266529,-1.45794960909594
KS,2022,28.658255247255,2.4875774471458
MN,2022,26.1065040237306,0.841014894724211
GA,2022,25.482505500684,1.0463383435964
MS,2022,25.0511446745978,-2.64409916727825
WY,2022,24.8789311734735,3.10986639668419
HI,2022,21.6433249419203,1.73424078060259
AR,2022,21.1177468058169,-1.42106903388126
UT,2022,21.0606730128296,-0.629123944906716
TX,2022,20.3942428630564,1.66621844713114
ID,2022,20.1481069985475,-0.263030117474514
ND,2022,19.743260192942,2.32273649328729
MT,2022,19.3793009143589,0.0905574809082204
IA,2022,17.5066135225593,0.501083750198475
NE,2022,12.7311207663931,0.152773449196719
SD,2022,10.6100677257376,-1.89864369828988
