State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
Alabama,1,1999,1999,169,4430141,3.814777001,3.852112492,0.000181604
Alabama,1,2000,2000,197,4447100,4.429853163,4.485685711,0.000211692
Alabama,1,2001,2001,215,4467634,4.81239063,4.864522367,0.000231034
Alabama,1,2002,2002,211,4480089,4.709727865,4.76193705,0.000226736
Alabama,1,2003,2003,197,4503491,4.374384228,4.433317553,0.000211692
Alabama,1,2004,2004,283,4530729,6.246235429,6.354192454,0.000304106
Alabama,1,2005,2005,283,4569805,6.19282442,6.33300637,0.000304106
Alabama,1,2006,2006,398,4628981,8.598004615,8.749794091,0.000427682
Alabama,1,2007,2007,511,4672840,10.93553385,11.08849204,0.000549109
Alabama,1,2008,2008,607,4718206,12.8650593,12.98108828,0.000652269
Alabama,1,2009,2009,627,4757938,13.17797752,13.55184227,0.00067376
Alabama,1,2010,2010,544,4779736,11.38138173,11.72312326,0.00058457
Alabama,1,2011,2011,548,4802740,11.41015337,11.66528946,0.000588869
Alabama,1,2012,2012,562,4822023,11.65485938,12.07062218,0.000603913
Alabama,1,2013,2013,598,4833722,12.37141896,12.71760235,0.000642598
Alabama,1,2014,2014,722,4849377,14.88851042,15.12624742,0.000775845
Alabama,1,2015,2015,736,4858979,15.14721508,15.66394785,0.000790889
Alabama,1,2016,2016,754,4863300,15.50387597,16.16708559,0.000810232
Alabama,1,2017,2017,835,4874747,17.12909408,17.98034476,0.000897273
Alabama,1,2018,2018,774,4887871,15.83511513,16.58575429,0.000831723
Alabama,1,2019,2019,768,4903185,15.66328825,16.33475154,0.000825276
Alabama,1,2020,2020,1027,4921532,20.86748598,22.28322473,0.001103591
Alaska,2,1999,1999,46,624779,7.362603417,7.463832182,4.94306E-05
Alaska,2,2000,2000,48,626932,7.656332744,7.107712404,5.15797E-05
Alaska,2,2001,2001,62,633714,9.78359323,9.398279306,6.66238E-05
Alaska,2,2002,2002,84,642337,13.07724761,12.19951195,9.02645E-05
