"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	169	4430141	3.814777001	3.852112492	0.018160366%
	"Alabama"	"01"	"2000"	"2000"	197	4447100	4.429853163	4.485685711	0.021169184%
	"Alabama"	"01"	"2001"	"2001"	215	4467634	4.812390630	4.864522367	0.023103424%
	"Alabama"	"01"	"2002"	"2002"	211	4480089	4.709727865	4.761937050	0.022673593%
	"Alabama"	"01"	"2003"	"2003"	197	4503491	4.374384228	4.433317553	0.021169184%
	"Alabama"	"01"	"2004"	"2004"	283	4530729	6.246235429	6.354192454	0.030410553%
	"Alabama"	"01"	"2005"	"2005"	283	4569805	6.192824420	6.333006370	0.030410553%
	"Alabama"	"01"	"2006"	"2006"	398	4628981	8.598004615	8.749794091	0.042768199%
	"Alabama"	"01"	"2007"	"2007"	511	4672840	10.935533851	11.088492041	0.054910928%
	"Alabama"	"01"	"2008"	"2008"	607	4718206	12.865059304	12.981088280	0.065226876%
	"Alabama"	"01"	"2009"	"2009"	627	4757938	13.177977519	13.551842271	0.067376031%
	"Alabama"	"01"	"2010"	"2010"	544	4779736	11.381381733	11.723123262	0.058457035%
	"Alabama"	"01"	"2011"	"2011"	548	4802740	11.410153371	11.665289458	0.058886866%
	"Alabama"	"01"	"2012"	"2012"	562	4822023	11.654859382	12.070622184	0.060391275%
	"Alabama"	"01"	"2013"	"2013"	598	4833722	12.371418960	12.717602346	0.064259756%
	"Alabama"	"01"	"2014"	"2014"	722	4849377	14.888510421	15.126247416	0.077584521%
	"Alabama"	"01"	"2015"	"2015"	736	4858979	15.147215084	15.663947845	0.079088930%
	"Alabama"	"01"	"2016"	"2016"	754	4863300	15.503875969	16.167085585	0.081023170%
	"Alabama"	"01"	"2017"	"2017"	835	4874747	17.129094084	17.980344761	0.089727251%
	"Alabama"	"01"	"2018"	"2018"	774	4887871	15.835115125	16.585754288	0.083172326%
	"Alabama"	"01"	"2019"	"2019"	768	4903185	15.663288250	16.334751540	0.082527579%
	"Alabama"	"01"	"2020 "	"2020"	1027	4921532	20.867485978	22.283224731	0.110359145%
	"Alaska"	"02"	"1999"	"1999"	46	624779	7.362603417	7.463832182	0.004943058%
	"Alaska"	"02"	"2000"	"2000"	48	626932	7.656332744	7.107712404	0.005157974%
	"Alaska"	"02"	"2001"	"2001"	62	633714	9.783593230	9.398279306	0.006662383%
	"Alaska"	"02"	"2002"	"2002"	84	642337	13.077247613	12.199511949	0.009026454%
	"Alaska"	"02"	"2003"	"2003"	83	648414	12.800463901	12.724505632	0.008918996%
	"Alaska"	"02"	"2004"	"2004"	86	659286	13.044414715	12.716423752	0.009241370%
	"Alaska"	"02"	"2005"	"2005"	78	666946	11.695099753	11.249602272	0.008381707%
	"Alaska"	"02"	"2006"	"2006"	75	675302	11.106142141	10.938234585	0.008059334%
	"Alaska"	"02"	"2007"	"2007"	71	680300	10.436572100	9.972749779	0.007629503%
	"Alaska"	"02"	"2008"	"2008"	127	687455	18.473936476	18.134487421	0.013647139%
	"Alaska"	"02"	"2009"	"2009"	131	698895	18.743874259	17.852794881	0.014076970%
	"Alaska"	"02"	"2010"	"2010"	83	710231	11.686338670	11.596243848	0.008918996%
	"Alaska"	"02"	"2011"	"2011"	107	722718	14.805221400	14.236350852	0.011497983%
	"Alaska"	"02"	"2012"	"2012"	129	731449	17.636226176	17.425052730	0.013862054%
	"Alaska"	"02"	"2013"	"2013"	105	735132	14.283149149	14.351896534	0.011283067%
	"Alaska"	"02"	"2014"	"2014"	124	736732	16.831086474	16.758502704	0.013324765%
	"Alaska"	"02"	"2015"	"2015"	121	738432	16.386072110	15.839002838	0.013002392%
	"Alaska"	"02"	"2016"	"2016"	128	741894	17.253138589	16.833122831	0.013754597%
	"Alaska"	"02"	"2017"	"2017"	147	739795	19.870369494	20.160169880	0.015796294%
	"Alaska"	"02"	"2018"	"2018"	110	737438	14.916508235	14.611302285	0.011820356%
	"Alaska"	"02"	"2019"	"2019"	132	731545	18.044002761	17.787433960	0.014184428%
	"Alaska"	"02"	"2020 "	"2020"	160	731158	21.883095035	21.987119088	0.017193246%
	"Arizona"	"04"	"1999"	"1999"	510	5023823	10.151631536	10.527947350	0.054803470%
	"Arizona"	"04"	"2000"	"2000"	522	5130632	10.174185169	10.589638320	0.056092964%
	"Arizona"	"04"	"2001"	"2001"	549	5273477	10.410588688	10.843804372	0.058994324%
	"Arizona"	"04"	"2002"	"2002"	622	5396255	11.526512368	11.945545529	0.066838742%
	"Arizona"	"04"	"2003"	"2003"	673	5510364	12.213349245	12.720331565	0.072319089%
	"Arizona"	"04"	"2004"	"2004"	743	5652404	13.144849519	13.652449189	0.079841134%
	"Arizona"	"04"	"2005"	"2005"	789	5839077	13.512409581	14.038848471	0.084784193%
	"Arizona"	"04"	"2006"	"2006"	873	6029141	14.479674634	14.866429039	0.093810646%
	"Arizona"	"04"	"2007"	"2007"	942	6167681	15.273163447	15.697135552	0.101225234%
	"Arizona"	"04"	"2008"	"2008"	828	6280362	13.183953409	13.545481446	0.088975046%
	"Arizona"	"04"	"2009"	"2009"	1000	6343154	15.765027934	16.107151250	0.107457785%
	"Arizona"	"04"	"2010"	"2010"	1097	6392017	17.162031953	17.481437724	0.117881190%
	"Arizona"	"04"	"2011"	"2011"	1071	6482505	16.521391036	16.853185040	0.115087288%
	"Arizona"	"04"	"2012"	"2012"	1133	6553255	17.289118156	17.647155773	0.121749671%
	"Arizona"	"04"	"2013"	"2013"	1222	6626624	18.440762597	18.737632867	0.131313414%
	"Arizona"	"04"	"2014"	"2014"	1210	6731484	17.975233990	18.155001393	0.130023920%
	"Arizona"	"04"	"2015"	"2015"	1273	6828065	18.643642086	18.983527450	0.136793761%
	"Arizona"	"04"	"2016"	"2016"	1381	6931071	19.924770645	20.253128580	0.148399201%
	"Arizona"	"04"	"2017"	"2017"	1529	7016270	21.792205830	22.195428147	0.164302954%
	"Arizona"	"04"	"2018"	"2018"	1669	7171646	23.272202783	23.798044632	0.179347044%
	"Arizona"	"04"	"2019"	"2019"	1907	7278717	26.199672277	26.818101619	0.204921996%
	"Arizona"	"04"	"2020 "	"2020"	2550	7421401	34.360089153	35.750301630	0.274017352%
	"Arkansas"	"05"	"1999"	"1999"	112	2651860	4.223450710	4.375459760	0.012035272%
	"Arkansas"	"05"	"2000"	"2000"	140	2673400	5.236777138	5.388659666	0.015044090%
	"Arkansas"	"05"	"2001"	"2001"	126	2691571	4.681280932	4.846015741	0.013539681%
	"Arkansas"	"05"	"2002"	"2002"	175	2705927	6.467284594	6.790108477	0.018805112%
	"Arkansas"	"05"	"2003"	"2003"	184	2724816	6.752749544	7.031367563	0.019772232%
	"Arkansas"	"05"	"2004"	"2004"	227	2749686	8.255488081	8.539716310	0.024392917%
	"Arkansas"	"05"	"2005"	"2005"	269	2781097	9.672442205	10.073544213	0.028906144%
	"Arkansas"	"05"	"2006"	"2006"	285	2821761	10.100075804	10.453924996	0.030625469%
	"Arkansas"	"05"	"2007"	"2007"	301	2848650	10.566408650	10.888633272	0.032344793%
	"Arkansas"	"05"	"2008"	"2008"	360	2874554	12.523681935	13.051205542	0.038684803%
	"Arkansas"	"05"	"2009"	"2009"	351	2896843	12.116638699	12.597458885	0.037717683%
	"Arkansas"	"05"	"2010"	"2010"	350	2915918	12.003081019	12.514572539	0.037610225%
	"Arkansas"	"05"	"2011"	"2011"	355	2937979	12.083136060	12.640106413	0.038147514%
	"Arkansas"	"05"	"2012"	"2012"	373	2949131	12.647793537	13.096182503	0.040081754%
	"Arkansas"	"05"	"2013"	"2013"	319	2959373	10.779310347	11.071252445	0.034279033%
	"Arkansas"	"05"	"2014"	"2014"	355	2966369	11.967492918	12.514117363	0.038147514%
	"Arkansas"	"05"	"2015"	"2015"	390	2978204	13.095140561	13.756206735	0.041908536%
	"Arkansas"	"05"	"2016"	"2016"	399	2988248	13.352305431	13.921004700	0.042875656%
	"Arkansas"	"05"	"2017"	"2017"	441	3004279	14.679062763	15.291355060	0.047388883%
	"Arkansas"	"05"	"2018"	"2018"	441	3013825	14.632568248	15.627662329	0.047388883%
	"Arkansas"	"05"	"2019"	"2019"	386	3017804	12.790757783	13.488786145	0.041478705%
	"Arkansas"	"05"	"2020 "	"2020"	545	3030522	17.983700498	19.057137878	0.058564493%
	"California"	"06"	"1999"	"1999"	2660	33499204	7.940487183	8.057140696	0.285837709%
	"California"	"06"	"2000"	"2000"	1936	33871648	5.715694731	5.826789502	0.208038272%
	"California"	"06"	"2001"	"2001"	1224	34479458	3.549939793	3.618577940	0.131528329%
	"California"	"06"	"2002"	"2002"	2967	34871843	8.508297081	8.656085752	0.318827249%
	"California"	"06"	"2003"	"2003"	3097	35253159	8.785028315	8.908871337	0.332796761%
	"California"	"06"	"2004"	"2004"	3120	35574576	8.770308324	8.816311770	0.335268290%
	"California"	"06"	"2005"	"2005"	3208	35827943	8.953905057	8.958212444	0.344724575%
	"California"	"06"	"2006"	"2006"	3485	36021202	9.674857602	9.588975924	0.374490381%
	"California"	"06"	"2007"	"2007"	3848	36250311	10.615081344	10.464359974	0.413497557%
	"California"	"06"	"2008"	"2008"	3859	36604337	10.542466594	10.367447067	0.414679593%
	"California"	"06"	"2009"	"2009"	4042	36961229	10.935783548	10.688040462	0.434344368%
	"California"	"06"	"2010"	"2010"	4049	37253956	10.868644393	10.547365115	0.435096572%
	"California"	"06"	"2011"	"2011"	4177	37691912	11.081953073	10.734403090	0.448851169%
	"California"	"06"	"2012"	"2012"	4029	38041430	10.591084510	10.239734920	0.432947417%
	"California"	"06"	"2013"	"2013"	4451	38332521	11.611550412	11.135172703	0.478294602%
	"California"	"06"	"2014"	"2014"	4515	38802500	11.635848206	11.078279349	0.485171900%
	"California"	"06"	"2015"	"2015"	4652	39144818	11.884076201	11.283512508	0.499893617%
	"California"	"06"	"2016"	"2016"	4649	39250017	11.844580857	11.211782554	0.499571243%
	"California"	"06"	"2017"	"2017"	4866	39536653	12.307566854	11.651100357	0.522889583%
	"California"	"06"	"2018"	"2018"	5343	39557045	13.507075668	12.830312469	0.574146946%
	"California"	"06"	"2019"	"2019"	6191	39512223	15.668569192	14.964565370	0.665271148%
	"California"	"06"	"2020 "	"2020"	8898	39368078	22.602068610	21.802006509	0.956159373%
	"Colorado"	"08"	"1999"	"1999"	349	4226018	8.258365203	7.989513594	0.037502767%
	"Colorado"	"08"	"2000"	"2000"	350	4301261	8.137148618	7.838283871	0.037610225%
	"Colorado"	"08"	"2001"	"2001"	410	4425687	9.264098433	8.963188347	0.044057692%
	"Colorado"	"08"	"2002"	"2002"	446	4490406	9.932286747	9.665639276	0.047926172%
	"Colorado"	"08"	"2003"	"2003"	502	4528732	11.084780464	10.749725034	0.053943808%
	"Colorado"	"08"	"2004"	"2004"	518	4575013	11.322372199	10.939268165	0.055663133%
