State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
Alabama,1,2018,2018,774,4887871,15.83511513,16.58575429,0.002304559
Alabama,1,2019,2019,768,4903185,15.66328825,16.33475154,0.002286694
Alabama,1,2020,2020,1027,4921532,20.86748598,22.28322473,0.003057858
Alabama,1,2021,2021,1406,5039877,27.89750623,29.99652456,0.004186318
Alaska,2,2018,2018,110,737438,14.91650824,14.61130229,0.000327521
Alaska,2,2019,2019,132,731545,18.04400276,17.78743396,0.000393026
Alaska,2,2020,2020,160,731158,21.88309504,21.98711909,0.000476395
Alaska,2,2021,2021,260,732673,35.48649943,35.64035436,0.000774141
Arizona,4,2018,2018,1669,7171646,23.27220278,23.79804463,0.004969392
Arizona,4,2019,2019,1907,7278717,26.19967228,26.81810162,0.005678029
Arizona,4,2020,2020,2550,7421401,34.36008915,35.75030163,0.00759254
Arizona,4,2021,2021,2727,7276316,37.4777566,38.68808455,0.008119551
Arkansas,5,2018,2018,441,3013825,14.63256825,15.62766233,0.001313063
Arkansas,5,2019,2019,386,3017804,12.79075778,13.48878615,0.001149302
Arkansas,5,2020,2020,545,3030522,17.9837005,19.05713788,0.001622719
Arkansas,5,2021,2021,636,3025891,21.01860246,22.25152016,0.001893669
California,6,2018,2018,5343,39557045,13.50707567,12.83031247,0.015908604
California,6,2019,2019,6191,39512223,15.66856919,14.96456537,0.018433495
California,6,2020,2020,8898,39368078,22.60206861,21.80200651,0.026493497
California,6,2021,2021,10891,39237836,27.7563727,26.58372903,0.032427588
Colorado,8,2018,2018,994,5695564,17.45217857,16.77935716,0.002959602
Colorado,8,2019,2019,1074,5758736,18.64992596,17.9063765,0.003197799
Colorado,8,2020,2020,1491,5807719,25.67272969,24.87358645,0.004439403
Colorado,8,2021,2021,1885,5812069,32.43251242,31.3629407,0.005612524
Connecticut,9,2018,2018,1069,3572665,29.92164113,30.65836081,0.003182912
Connecticut,9,2019,2019,1214,3565287,34.0505547,34.65981341,0.003614644
Connecticut,9,2020,2020,1369,3557006,38.48742454,39.04943869,0.004076152
Connecticut,9,2021,2021,1548,3605597,42.93325072,42.16251366,0.004609118
Delaware,10,2018,2018,401,967171,41.46112735,43.83896992,0.001193964
Delaware,10,2019,2019,435,973764,44.67201499,48.01738897,0.001295198
Delaware,10,2020,2020,444,986809,44.99350938,47.25880092,0.001321995
Delaware,10,2021,2021,511,1003384,50.9276608,53.72714275,0.001521485
District of Columbia,11,2018,2018,253,702455,36.01654199,35.28096806,0.000753299
District of Columbia,11,2019,2019,310,705749,43.92496483,43.09045651,0.000923015
District of Columbia,11,2020,2020,423,712816,59.34210231,57.90471075,0.001259468
District of Columbia,11,2021,2021,449,670050,67.00992463,63.46009877,0.001336882
Florida,12,2018,2018,4695,21299325,22.04295207,22.76079266,0.013979205
Florida,12,2019,2019,5262,21477737,24.49978785,25.49986465,0.015667429
Florida,12,2020,2020,7227,21733312,33.25310013,35.01198733,0.021518151
Florida,12,2021,2021,7821,21781128,35.90723125,37.45514206,0.023286766
Georgia,13,2018,2018,1400,10519475,13.30864896,13.2052716,0.004168453
Georgia,13,2019,2019,1404,10617423,13.22354775,13.02908707,0.004180363
Georgia,13,2020,2020,1913,10710017,17.86178304,17.99912707,0.005695893
Georgia,13,2021,2021,2493,10799566,23.08426098,23.42982156,0.007422824
Hawaii,15,2018,2018,213,1420491,14.99481517,14.32504881,0.0006342
Hawaii,15,2019,2019,239,1415872,16.88005695,15.63728846,0.000711615
Hawaii,15,2020,2020,273,1407006,19.40290233,18.23607295,0.000812848
Hawaii,15,2021,2021,269,1441553,18.6604308,17.27342021,0.000800939
Idaho,16,2018,2018,249,1754208,14.19443988,14.56215402,0.000741389
Idaho,16,2019,2019,264,1787065,14.77282584,15.04307882,0.000786051
Idaho,16,2020,2020,286,1826913,15.65482319,15.8526003,0.000851555
Idaho,16,2021,2021,354,1900923,18.62253232,18.95060203,0.001054023
Illinois,17,2018,2018,2713,12741080,21.29332835,21.22192104,0.008077867
Illinois,17,2019,2019,2774,12671821,21.89109205,21.75860422,0.008259492
Illinois,17,2020,2020,3538,12587530,28.10718227,27.97906118,0.010534277
Illinois,17,2021,2021,3739,12671469,29.50723393,28.86354813,0.011132747
Indiana,18,2018,2018,1625,6691878,24.28316834,25.56566748,0.004838383
Indiana,18,2019,2019,1697,6732219,25.20714195,26.60135025,0.005052761
Indiana,18,2020,2020,2318,6754953,34.31556075,36.6317452,0.006901767
Indiana,18,2021,2021,2808,6805985,41.25780471,42.98392195,0.008360726
Iowa,19,2018,2018,285,3156145,9.030003374,9.50363019,0.000848578
Iowa,19,2019,2019,349,3155070,11.06156123,11.41707429,0.001039136
Iowa,19,2020,2020,429,3163561,13.56066787,14.19546984,0.001277333
Iowa,19,2021,2021,475,3193079,14.87592383,15.34831873,0.001414297
Kansas,20,2018,2018,344,2911505,11.81519523,12.36073641,0.001024248
Kansas,20,2019,2019,403,2913314,13.83304374,14.26207461,0.001199919
Kansas,20,2020,2020,490,2913805,16.81649939,17.42999655,0.001458959
Kansas,20,2021,2021,680,2934582,23.1719543,24.30487843,0.002024677
Kentucky,21,2018,2018,1315,4468402,29.42886517,30.85421166,0.003915368
Kentucky,21,2019,2019,1380,4467673,30.88856324,32.51040558,0.004108904
Kentucky,21,2020,2020,2083,4477251,46.52408364,49.17550005,0.006202063
Kentucky,21,2021,2021,2380,4509394,52.7787104,55.59492375,0.00708637
Louisiana,22,2018,2018,1138,4659978,24.42071615,25.38061339,0.003388357
Louisiana,22,2019,2019,1264,4648794,27.18984752,28.26692353,0.003763518
Louisiana,22,2020,2020,1892,4645318,40.72918151,42.57625072,0.005633367
