"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"2018"	"2018"	774	4887871	15.835115125	16.585754288	0.230455910%
	"Alabama"	"01"	"2019"	"2019"	768	4903185	15.663288250	16.334751540	0.228669430%
	"Alabama"	"01"	"2020"	"2020"	1027	4921532	20.867485978	22.283224731	0.305785813%
	"Alabama"	"01"	"2021 "	"2021"	1406	5039877	27.897506229	29.996524555	0.418631795%
	"Alaska"	"02"	"2018"	"2018"	110	737438	14.916508235	14.611302285	0.032752132%
	"Alaska"	"02"	"2019"	"2019"	132	731545	18.044002761	17.787433960	0.039302558%
	"Alaska"	"02"	"2020"	"2020"	160	731158	21.883095035	21.987119088	0.047639465%
	"Alaska"	"02"	"2021 "	"2021"	260	732673	35.486499434	35.640354356	0.077414130%
	"Arizona"	"04"	"2018"	"2018"	1669	7171646	23.272202783	23.798044632	0.496939164%
	"Arizona"	"04"	"2019"	"2019"	1907	7278717	26.199672277	26.818101619	0.567802868%
	"Arizona"	"04"	"2020"	"2020"	2550	7421401	34.360089153	35.750301630	0.759253966%
	"Arizona"	"04"	"2021 "	"2021"	2727	7276316	37.477756601	38.688084551	0.811955124%
	"Arkansas"	"05"	"2018"	"2018"	441	3013825	14.632568248	15.627662329	0.131306274%
	"Arkansas"	"05"	"2019"	"2019"	386	3017804	12.790757783	13.488786145	0.114930208%
	"Arkansas"	"05"	"2020"	"2020"	545	3030522	17.983700498	19.057137878	0.162271926%
	"Arkansas"	"05"	"2021 "	"2021"	636	3025891	21.018602455	22.251520155	0.189366872%
	"California"	"06"	"2018"	"2018"	5343	39557045	13.507075668	12.830312469	1.590860369%
	"California"	"06"	"2019"	"2019"	6191	39512223	15.668569192	14.964565370	1.843349531%
	"California"	"06"	"2020"	"2020"	8898	39368078	22.602068610	21.802006509	2.649349721%
	"California"	"06"	"2021 "	"2021"	10891	39237836	27.756372701	26.583729027	3.242758801%
	"Colorado"	"08"	"2018"	"2018"	994	5695564	17.452178573	16.779357162	0.295960173%
	"Colorado"	"08"	"2019"	"2019"	1074	5758736	18.649925956	17.906376500	0.319779906%
	"Colorado"	"08"	"2020"	"2020"	1491	5807719	25.672729690	24.873586453	0.443940260%
	"Colorado"	"08"	"2021 "	"2021"	1885	5812069	32.432512415	31.362940699	0.561252442%
	"Connecticut"	"09"	"2018"	"2018"	1069	3572665	29.921641128	30.658360814	0.318291172%
	"Connecticut"	"09"	"2019"	"2019"	1214	3565287	34.050554696	34.659813411	0.361464437%
	"Connecticut"	"09"	"2020"	"2020"	1369	3557006	38.487424536	39.049438686	0.407615168%
	"Connecticut"	"09"	"2021 "	"2021"	1548	3605597	42.933250721	42.162513656	0.460911819%
