State,State Code,Year,Deaths,% of Total Deaths
Alabama,1,2021,751,0.013237679
Alaska,2,2021,141,0.00248537
Arizona,4,2021,1492,0.02629909
Arkansas,5,2021,348,0.006134104
California,6,2021,5963,0.105108228
Colorado,8,2021,1037,0.018278925
Connecticut,9,2021,771,0.013590214
Delaware,10,2021,275,0.004847352
District of Columbia,11,2021,225,0.003966016
Florida,12,2021,4155,0.073239089
Georgia,13,2021,1332,0.023478813
Hawaii,15,2021,133,0.002344356
Idaho,16,2021,186,0.003278573
Illinois,17,2021,1890,0.033314531
Indiana,18,2021,1471,0.025928929
Iowa,19,2021,262,0.004618205
Kansas,20,2021,372,0.006557146
Kentucky,21,2021,1260,0.022209688
Louisiana,22,2021,1298,0.022879504
Maine,23,2021,302,0.005323274
Maryland,24,2021,1503,0.026492985
Massachusetts,25,2021,1304,0.022985264
Michigan,26,2021,1659,0.029242755
Minnesota,27,2021,691,0.012180075
Mississippi,28,2021,435,0.00766763
Missouri,29,2021,1249,0.022015794
Montana,30,2021,108,0.001903688
Nebraska,31,2021,120,0.002115208
Nevada,32,2021,549,0.009677078
New Hampshire,33,2021,216,0.003807375
New Jersey,34,2021,1604,0.028273285
New Mexico,35,2021,611,0.010769936
New York,36,2021,2984,0.052598181
North Carolina,37,2021,2060,0.036311077
North Dakota,38,2021,70,0.001233872
Ohio,39,2021,2916,0.051399563
Oklahoma,40,2021,508,0.008954382
Oregon,41,2021,627,0.011051964
Pennsylvania,42,2021,2824,0.049777903
Rhode Island,44,2021,228,0.004018896
South Carolina,45,2021,1077,0.018983995
South Dakota,46,2021,51,0.000898964
Tennessee,47,2021,1999,0.035235846
Texas,48,2021,2821,0.049725023
Utah,49,2021,366,0.006451385
Vermont,50,2021,117,0.002062328
Virginia,51,2021,1358,0.023937108
Washington,53,2021,1170,0.020623281
West Virginia,54,2021,850,0.014982726
Wisconsin,55,2021,932,0.016428118
Wyoming,56,2021,61,0.001075231
