"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2008"	"2008"	321	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	338	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	298	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	323	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	307	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	321	Not Applicable	Not Applicable
	"Alabama"	"01"	"2014"	"2014"	390	Not Applicable	Not Applicable
	"Alabama"	"01"	"2015"	"2015"	432	Not Applicable	Not Applicable
	"Alabama"	"01"	"2016"	"2016"	395	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	471	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	426	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	398	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020 "	"2020"	572	Not Applicable	Not Applicable
	"Alaska"	"02"	"2008"	"2008"	92	Not Applicable	Not Applicable
	"Alaska"	"02"	"2009"	"2009"	82	Not Applicable	Not Applicable
	"Alaska"	"02"	"2010"	"2010"	61	Not Applicable	Not Applicable
	"Alaska"	"02"	"2011"	"2011"	57	Not Applicable	Not Applicable
	"Alaska"	"02"	"2012"	"2012"	67	Not Applicable	Not Applicable
	"Alaska"	"02"	"2013"	"2013"	48	Not Applicable	Not Applicable
	"Alaska"	"02"	"2014"	"2014"	56	Not Applicable	Not Applicable
	"Alaska"	"02"	"2015"	"2015"	61	Not Applicable	Not Applicable
	"Alaska"	"02"	"2016"	"2016"	77	Not Applicable	Not Applicable
	"Alaska"	"02"	"2017"	"2017"	75	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	61	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	93	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020 "	"2020"	96	Not Applicable	Not Applicable
	"Arizona"	"04"	"2008"	"2008"	461	Not Applicable	Not Applicable
	"Arizona"	"04"	"2009"	"2009"	485	Not Applicable	Not Applicable
	"Arizona"	"04"	"2010"	"2010"	581	Not Applicable	Not Applicable
	"Arizona"	"04"	"2011"	"2011"	597	Not Applicable	Not Applicable
	"Arizona"	"04"	"2012"	"2012"	646	Not Applicable	Not Applicable
	"Arizona"	"04"	"2013"	"2013"	659	Not Applicable	Not Applicable
	"Arizona"	"04"	"2014"	"2014"	669	Not Applicable	Not Applicable
	"Arizona"	"04"	"2015"	"2015"	664	Not Applicable	Not Applicable
