State,State Code,Year,Deaths,% of Total Deaths
Alabama,1,2021,726,0.012853652
Alaska,2,2021,159,0.002815056
Arizona,4,2021,1528,0.027052866
Arkansas,5,2021,334,0.005913388
California,6,2021,5908,0.104599695
Colorado,8,2021,1080,0.019121136
Connecticut,9,2021,812,0.014376261
Delaware,10,2021,249,0.004408484
District of Columbia,11,2021,238,0.004213732
Florida,12,2021,4064,0.071952126
Georgia,13,2021,1307,0.023140115
Hawaii,15,2021,154,0.002726532
Idaho,16,2021,202,0.003576361
Illinois,17,2021,2036,0.036046882
Indiana,18,2021,1538,0.027229914
Iowa,19,2021,281,0.004975036
Kansas,20,2021,396,0.007011083
Kentucky,21,2021,1222,0.021635211
Louisiana,22,2021,1320,0.023370277
Maine,23,2021,320,0.005665522
Maryland,24,2021,1330,0.023547325
Massachusetts,25,2021,1352,0.023936829
Michigan,26,2021,1572,0.027831876
Minnesota,27,2021,751,0.013296271
Mississippi,28,2021,382,0.006763217
Missouri,29,2021,1156,0.020466697
Montana,30,2021,105,0.001858999
Nebraska,31,2021,127,0.002248504
Nevada,32,2021,521,0.009224178
New Hampshire,33,2021,246,0.00435537
New Jersey,34,2021,1548,0.027406962
New Mexico,35,2021,599,0.010605149
New York,36,2021,3075,0.054442123
North Carolina,37,2021,2047,0.036241635
North Dakota,38,2021,65,0.001150809
Ohio,39,2021,2842,0.050316915
Oklahoma,40,2021,604,0.010693672
Oregon,41,2021,622,0.011012358
Pennsylvania,42,2021,2718,0.048121525
Rhode Island,44,2021,241,0.004266846
South Carolina,45,2021,1149,0.020342764
South Dakota,46,2021,61,0.00107999
Tennessee,47,2021,1963,0.034754435
Texas,48,2021,2709,0.047962183
Utah,49,2021,358,0.006338302
Vermont,50,2021,146,0.002584894
Virginia,51,2021,1314,0.023264049
Washington,53,2021,1256,0.022237173
West Virginia,54,2021,761,0.013473319
Wisconsin,55,2021,923,0.016341489
Wyoming,56,2021,65,0.001150809
