State,State Code,Year,Year Code,Deaths,Population,Crude Rate
Alabama,1,2008,2008,324,Not Applicable,Not Applicable
Alabama,1,2009,2009,315,Not Applicable,Not Applicable
Alabama,1,2010,2010,278,Not Applicable,Not Applicable
Alabama,1,2011,2011,255,Not Applicable,Not Applicable
Alabama,1,2012,2012,281,Not Applicable,Not Applicable
Alabama,1,2013,2013,317,Not Applicable,Not Applicable
Alabama,1,2014,2014,374,Not Applicable,Not Applicable
Alabama,1,2015,2015,341,Not Applicable,Not Applicable
Alabama,1,2016,2016,400,Not Applicable,Not Applicable
Alabama,1,2017,2017,423,Not Applicable,Not Applicable
Alabama,1,2018,2018,395,Not Applicable,Not Applicable
Alabama,1,2019,2019,422,Not Applicable,Not Applicable
Alabama,1,2020,2020,513,Not Applicable,Not Applicable
Alaska,2,2008,2008,53,Not Applicable,Not Applicable
Alaska,2,2009,2009,58,Not Applicable,Not Applicable
Alaska,2,2010,2010,38,Not Applicable,Not Applicable
Alaska,2,2011,2011,60,Not Applicable,Not Applicable
Alaska,2,2012,2012,66,Not Applicable,Not Applicable
Alaska,2,2013,2013,62,Not Applicable,Not Applicable
Alaska,2,2014,2014,73,Not Applicable,Not Applicable
Alaska,2,2015,2015,84,Not Applicable,Not Applicable
Alaska,2,2016,2016,69,Not Applicable,Not Applicable
Alaska,2,2017,2017,93,Not Applicable,Not Applicable
Alaska,2,2018,2018,77,Not Applicable,Not Applicable
Alaska,2,2019,2019,72,Not Applicable,Not Applicable
Alaska,2,2020,2020,99,Not Applicable,Not Applicable
Arizona,4,2008,2008,427,Not Applicable,Not Applicable
Arizona,4,2009,2009,596,Not Applicable,Not Applicable
Arizona,4,2010,2010,642,Not Applicable,Not Applicable
Arizona,4,2011,2011,596,Not Applicable,Not Applicable
Arizona,4,2012,2012,633,Not Applicable,Not Applicable
Arizona,4,2013,2013,680,Not Applicable,Not Applicable
Arizona,4,2014,2014,654,Not Applicable,Not Applicable
Arizona,4,2015,2015,723,Not Applicable,Not Applicable
Arizona,4,2016,2016,747,Not Applicable,Not Applicable
Arizona,4,2017,2017,867,Not Applicable,Not Applicable
Arizona,4,2018,2018,964,Not Applicable,Not Applicable
Arizona,4,2019,2019,1190,Not Applicable,Not Applicable
Arizona,4,2020,2020,1484,Not Applicable,Not Applicable
Arkansas,5,2008,2008,197,Not Applicable,Not Applicable
Arkansas,5,2009,2009,215,Not Applicable,Not Applicable
Arkansas,5,2010,2010,176,Not Applicable,Not Applicable
Arkansas,5,2011,2011,167,Not Applicable,Not Applicable
Arkansas,5,2012,2012,209,Not Applicable,Not Applicable
Arkansas,5,2013,2013,175,Not Applicable,Not Applicable
Arkansas,5,2014,2014,196,Not Applicable,Not Applicable
Arkansas,5,2015,2015,193,Not Applicable,Not Applicable
Arkansas,5,2016,2016,214,Not Applicable,Not Applicable
Arkansas,5,2017,2017,245,Not Applicable,Not Applicable
Arkansas,5,2018,2018,233,Not Applicable,Not Applicable
Arkansas,5,2019,2019,227,Not Applicable,Not Applicable
Arkansas,5,2020,2020,292,Not Applicable,Not Applicable
California,6,2008,2008,2215,Not Applicable,Not Applicable
California,6,2009,2009,2337,Not Applicable,Not Applicable
California,6,2010,2010,2315,Not Applicable,Not Applicable
California,6,2011,2011,2349,Not Applicable,Not Applicable
California,6,2012,2012,2254,Not Applicable,Not Applicable
California,6,2013,2013,2604,Not Applicable,Not Applicable
California,6,2014,2014,2548,Not Applicable,Not Applicable
California,6,2015,2015,2657,Not Applicable,Not Applicable
California,6,2016,2016,2605,Not Applicable,Not Applicable
California,6,2017,2017,2847,Not Applicable,Not Applicable
California,6,2018,2018,3086,Not Applicable,Not Applicable
California,6,2019,2019,3582,Not Applicable,Not Applicable
California,6,2020,2020,5333,Not Applicable,Not Applicable
Colorado,8,2008,2008,385,Not Applicable,Not Applicable
Colorado,8,2009,2009,417,Not Applicable,Not Applicable
Colorado,8,2010,2010,344,Not Applicable,Not Applicable
Colorado,8,2011,2011,463,Not Applicable,Not Applicable
Colorado,8,2012,2012,440,Not Applicable,Not Applicable
Colorado,8,2013,2013,438,Not Applicable,Not Applicable
Colorado,8,2014,2014,496,Not Applicable,Not Applicable
Colorado,8,2015,2015,470,Not Applicable,Not Applicable
Colorado,8,2016,2016,527,Not Applicable,Not Applicable
Colorado,8,2017,2017,574,Not Applicable,Not Applicable
Colorado,8,2018,2018,565,Not Applicable,Not Applicable
Colorado,8,2019,2019,662,Not Applicable,Not Applicable
Colorado,8,2020,2020,846,Not Applicable,Not Applicable
Connecticut,9,2008,2008,198,Not Applicable,Not Applicable
Connecticut,9,2009,2009,193,Not Applicable,Not Applicable
Connecticut,9,2010,2010,178,Not Applicable,Not Applicable
Connecticut,9,2011,2011,203,Not Applicable,Not Applicable
Connecticut,9,2012,2012,234,Not Applicable,Not Applicable
Connecticut,9,2013,2013,323,Not Applicable,Not Applicable
Connecticut,9,2014,2014,312,Not Applicable,Not Applicable
Connecticut,9,2015,2015,448,Not Applicable,Not Applicable
Connecticut,9,2016,2016,513,Not Applicable,Not Applicable
Connecticut,9,2017,2017,534,Not Applicable,Not Applicable
Connecticut,9,2018,2018,530,Not Applicable,Not Applicable
Connecticut,9,2019,2019,662,Not Applicable,Not Applicable
Connecticut,9,2020,2020,693,Not Applicable,Not Applicable
Delaware,10,2008,2008,73,Not Applicable,Not Applicable
Delaware,10,2009,2009,73,Not Applicable,Not Applicable
Delaware,10,2010,2010,74,Not Applicable,Not Applicable
Delaware,10,2011,2011,79,Not Applicable,Not Applicable
Delaware,10,2012,2012,75,Not Applicable,Not Applicable
Delaware,10,2013,2013,97,Not Applicable,Not Applicable
Delaware,10,2014,2014,93,Not Applicable,Not Applicable
Delaware,10,2015,2015,100,Not Applicable,Not Applicable
Delaware,10,2016,2016,160,Not Applicable,Not Applicable
Delaware,10,2017,2017,183,Not Applicable,Not Applicable
Delaware,10,2018,2018,210,Not Applicable,Not Applicable
Delaware,10,2019,2019,231,Not Applicable,Not Applicable
Delaware,10,2020,2020,194,Not Applicable,Not Applicable
District of Columbia,11,2008,2008,14,Not Applicable,Not Applicable
District of Columbia,11,2009,2009,17,Not Applicable,Not Applicable
District of Columbia,11,2010,2010,38,Not Applicable,Not Applicable
District of Columbia,11,2011,2011,49,Not Applicable,Not Applicable
District of Columbia,11,2012,2012,43,Not Applicable,Not Applicable
District of Columbia,11,2013,2013,58,Not Applicable,Not Applicable
District of Columbia,11,2014,2014,52,Not Applicable,Not Applicable
District of Columbia,11,2015,2015,73,Not Applicable,Not Applicable
District of Columbia,11,2016,2016,164,Not Applicable,Not Applicable
District of Columbia,11,2017,2017,123,Not Applicable,Not Applicable
District of Columbia,11,2018,2018,123,Not Applicable,Not Applicable
District of Columbia,11,2019,2019,181,Not Applicable,Not Applicable
District of Columbia,11,2020,2020,196,Not Applicable,Not Applicable
Florida,12,2008,2008,1524,Not Applicable,Not Applicable
Florida,12,2009,2009,1685,Not Applicable,Not Applicable
Florida,12,2010,2010,1590,Not Applicable,Not Applicable
Florida,12,2011,2011,1556,Not Applicable,Not Applicable
Florida,12,2012,2012,1385,Not Applicable,Not Applicable
Florida,12,2013,2013,1313,Not Applicable,Not Applicable
Florida,12,2014,2014,1481,Not Applicable,Not Applicable
Florida,12,2015,2015,1790,Not Applicable,Not Applicable
Florida,12,2016,2016,2851,Not Applicable,Not Applicable
Florida,12,2017,2017,2641,Not Applicable,Not Applicable
Florida,12,2018,2018,2523,Not Applicable,Not Applicable
Florida,12,2019,2019,2970,Not Applicable,Not Applicable
Florida,12,2020,2020,3709,Not Applicable,Not Applicable
Georgia,13,2008,2008,464,Not Applicable,Not Applicable
Georgia,13,2009,2009,542,Not Applicable,Not Applicable
Georgia,13,2010,2010,547,Not Applicable,Not Applicable
Georgia,13,2011,2011,562,Not Applicable,Not Applicable
Georgia,13,2012,2012,528,Not Applicable,Not Applicable
Georgia,13,2013,2013,540,Not Applicable,Not Applicable
Georgia,13,2014,2014,643,Not Applicable,Not Applicable
Georgia,13,2015,2015,639,Not Applicable,Not Applicable
Georgia,13,2016,2016,758,Not Applicable,Not Applicable
Georgia,13,2017,2017,804,Not Applicable,Not Applicable
Georgia,13,2018,2018,764,Not Applicable,Not Applicable
Georgia,13,2019,2019,737,Not Applicable,Not Applicable
Georgia,13,2020,2020,1015,Not Applicable,Not Applicable
Hawaii,15,2008,2008,72,Not Applicable,Not Applicable
Hawaii,15,2009,2009,79,Not Applicable,Not Applicable
Hawaii,15,2010,2010,82,Not Applicable,Not Applicable
Hawaii,15,2011,2011,91,Not Applicable,Not Applicable
Hawaii,15,2012,2012,72,Not Applicable,Not Applicable
Hawaii,15,2013,2013,84,Not Applicable,Not Applicable
Hawaii,15,2014,2014,80,Not Applicable,Not Applicable
Hawaii,15,2015,2015,105,Not Applicable,Not Applicable
Hawaii,15,2016,2016,114,Not Applicable,Not Applicable
Hawaii,15,2017,2017,133,Not Applicable,Not Applicable
Hawaii,15,2018,2018,111,Not Applicable,Not Applicable
Hawaii,15,2019,2019,136,Not Applicable,Not Applicable
Hawaii,15,2020,2020,154,Not Applicable,Not Applicable
Idaho,16,2008,2008,79,Not Applicable,Not Applicable
Idaho,16,2009,2009,99,Not Applicable,Not Applicable
Idaho,16,2010,2010,93,Not Applicable,Not Applicable
Idaho,16,2011,2011,115,Not Applicable,Not Applicable
Idaho,16,2012,2012,89,Not Applicable,Not Applicable
Idaho,16,2013,2013,114,Not Applicable,Not Applicable
Idaho,16,2014,2014,104,Not Applicable,Not Applicable
Idaho,16,2015,2015,103,Not Applicable,Not Applicable
Idaho,16,2016,2016,126,Not Applicable,Not Applicable
Idaho,16,2017,2017,123,Not Applicable,Not Applicable
Idaho,16,2018,2018,126,Not Applicable,Not Applicable
Idaho,16,2019,2019,133,Not Applicable,Not Applicable
Idaho,16,2020,2020,161,Not Applicable,Not Applicable
Illinois,17,2008,2008,708,Not Applicable,Not Applicable
