"Notes"	"Occurrence State"	"Occurrence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	67	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	58	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	51	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	56	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	80	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	119	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	88	Not Applicable	Not Applicable
