"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2018"	"2018/01"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2018"	"2018/02"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2018"	"2018/03"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2018"	"2018/04"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2018"	"2018/05"	68	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2018"	"2018/06"	48	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2018"	"2018/07"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2018"	"2018/08"	49	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2018"	"2018/09"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2018"	"2018/10"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2018"	"2018/11"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2018"	"2018/12"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2019"	"2019/01"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2019"	"2019/02"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2019"	"2019/03"	60	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2019"	"2019/04"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2019"	"2019/05"	68	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2019"	"2019/06"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2019"	"2019/07"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2019"	"2019/08"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2019"	"2019/09"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2019"	"2019/10"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2019"	"2019/11"	50	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2019"	"2019/12"	63	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	122	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	93	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	79	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	68	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021"	"2021/01"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2021"	"2021/02"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2021"	"2021/03"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2021"	"2021/04"	124	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2021"	"2021/05"	117	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2021"	"2021/06"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2021"	"2021/07"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2021"	"2021/08"	116	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2021"	"2021/09"	121	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2021"	"2021/10"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2021"	"2021/11"	92	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2021"	"2021/12"	115	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2022 (provisional)"	"2022/01"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2022 (provisional)"	"2022/02"	130	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2022 (provisional)"	"2022/03"	118	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2022 (provisional)"	"2022/04"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2022 (provisional)"	"2022/05"	130	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2022 (provisional)"	"2022/06"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2022 (provisional)"	"2022/07"	148	Not Applicable	Not Applicable
